Unnamed: 0,아이디,댓글 내용
72,  @user-rg9fl6wv5h,​ @rryyuuu5154 4세대 ㅈㄴ탑급인 그룹 엔믹스의 메보라인 설윤도 춤추면서 가성 쓰면 성량 작아진다. 리즈가 이 파트 잘 살린거 맞음
73,  @goodday3150,"와! 리즈, 유진 고음 대박이다! 다들 춤추면서 노래하기 힘들텐데 멤버들 모두 노래도 진짜 열실히 잘하네."
74,  @lolololollllllllllliiiiii,장원영은 얼굴이 김태희 급 국가혁명미인이니까 노래 강요 그만하자
75,  @sexybaby.whoo., @lolololollllllllllliiiiii  그래 ㅎㅎ 화이팅 그렇게 응원해
76,  @user-mc6su8ik8g, @lolololollllllllllliiiiii  그러니까 욕먹는거임 이분은 장원영한테 아무말도 안했는데 왜 얘기가 나와
77,  @user-sx2ur3tq1w,유진이가 진짜 올라운더네. 너무 잘함 ㅠㅠ 춤도 잘추고!!!
78,  @goodday3150, @user-mc6su8ik8g  그니까 어이없네요ㅋㅋㅋㅋ 근데 난 장원영 포함 모든 맴버들이 노래 잘한다는 의미로 얘기한간데. 내가 잘못 말한 게 아니라 위에분이 한국말 못알아 들은 것 같다고 보는데. 맞죠?ㅋㅋ
79,  @tvuhjjul7677, @user-mc6su8ik8g  누가봐도 지능형 안티 팬인데...ㅋㅋㅋ 이름이랑 프사 좀 봐바 저 꼬라진데 정상적인 사람이겠어?
80,  @SHIDANG,​ @lolololollllllllllliiiiii  근데 너같은 연예인 안티들은 대부분 인생이 ㅎㅌㅊ이고 그거땜에 열등감에 진짜 귀중한 시간을 누군가를 혐오하는데 쓴다는 게 진짜 안타까움...아무리 ㅎㅌㅊ 인생이라도 네가 아이돌 안티질 하며 소비하는 젊은 나이의 시간이 그 어떤 늙은 억만장자들의 시간보다도 귀중한데...
81,  @sloth0328,​ @lolololollllllllllliiiiii  김태희 넘사벽인데ㅋㅋ 장원영이랑 급이 다름
82,  @user-jy9cc2xj5n, @goodday3150  전 팬도 아니고 안티도 아닌데 이번 노래가 너무 좋아서 찾아듣게 되었는데요~ 근데 장원영이 노래를 잘하나요??? mr제거 들어보니 부르질 않던데요
83,  @goodday3150, @tvuhjjul7677  인정
84,  @goodday3150, @user-jy9cc2xj5n  고음이 좀 부족하지만.. 못하는 편은 아니고.. 목소리도 이쁘고 좀 낮은 음은 많이 잘하는 것 같아서  좀 더 자신감있게 불러도 되는데.. 그게 좀 아쉽지만.. 그래도 끊임없이 많이 노력해서 예전에 비해서는 많이 자신감 있어 지는 것 같고. 노래실력도 점점 느는 것 같아서 원영님을 응원하고 좋아하는 팬으로써 기쁩니다! 목소리가 정말 예뻐서 원영님 파트 개인적으로 좋아하는데. 고음이 잘 안된다는 이유만으로 원영님이 위축되지 않았음해요. 누구에게나 자기에게 맞는 음색 톤이 있는 거고 거기에 맞게 발전시키면 되는 거니까요.  점점 더 잘하고 있으니까 춤뿐만아니라 노래도 좀 더 용기내고 자신감있게 할 수 있길 응원하고 있어요. 잘하고 있어요 원영. 더 잘할 수 있어 원영이니까! 파이팅!
85,  @user-en5xb2du8x,​ @user-jy9cc2xj5n  이거 들어보면 부르질 않는건 아닌거같고 일단 부르긴하는데 목소리가 얇아서 원체 성량이 너무 작은거 아니면 크게 못 내지르는거같음요 간간히 편한 음역대? 에선 확실히 들리긴함
86,  @goodday3150, @user-en5xb2du8x  맞아요! 가사 대부분 다 부르긴 불러요! 음역대를 크게 못내는 상황이라 그런듯요!
87,  @goodday3150,와! 정말 예상 못했는데. 공감버튼 1.2천 감사드립니다~^^
88,  @Kska-pu2xp, @lolololollllllllllliiiiii  이래ㅅ서 ㅉㅉ
89,  @timothxl,안유진 리즈 진짜 미쳤구나 ... 춤추고 표정연기하는 것만으로도 힘들텐데 고음을 하나도 안빼고 질러버리네 .. 진짜 멋지다
90,  @user-kz7wq2mb3s,2:21 안유진 미쳤다 걍.. 고음이 묵직하고 단단해서 너무 좋음.. that’s my 부분도 진짜 개높던데 이걸 라이브로 해버리네.. 리즈도 너무 잘함.. 이서는 연습 많이 한게 느껴짐ㅠㅠ 자신감 있게 소리 내뱉는게 너무 좋다
91,  @uni_0210,I'm be fly away? 부분이랑 that's my so that is who I am 이부분들이 3옥솔이라 개힘들텐데 라이브 하는게 멋지다요..
92,  @samieich9893,Liz and Yujin carrying the chorusAmazing
93,  @avgsquad3329,yes you can hear them clearly in the chorus
94,  @userpkcu,watch their encores and see yujin shine :D she is the best!!
95,  @gittageovanny5525,and leeseo pre-chorus and bridge
96,  @evamakri9694,They are literally carrying the whole song
97,  @shrey5973,Yup true
98,  @easterlah3244,& wonyoung got the screen time for the chorus.
99,  @glitteryreen3908,"LITRALLY!! leeso snaped, wonyoung is me when i have earphones on and imaging myself being an idol, shes stunniing tho T__T <3"
100,  @cherrybear5150,​ @easterlah3244  That's the reason why despite her popularity as an idol she is not going to have a soloist opportunity.
101,  @yunjiseo2716,와... 유진이랑 리즈 잘 하는 건 알고 있었지만 이서가 저 정도로 잘 하는 줄은 몰랐네 다들 너무 멋지다
102,  @argiangucaprawira3838,"Leeseo improved her vocal a lot in this cb, tho her dance still quite stiff"
103,  @xeum._., @argiangucaprawira3838  뭐라노
104,  @entp.estp., @xeum._.  ㅋㅋㅋ
105,  @user-kj1xw1hz4v, @argiangucaprawira3838 외퀴들 수듄
106,  @IVE_LOVE_All,​ @argiangucaprawira3838  니는
107,  @user-hx4dd2ke1n,이번 활동 이서가 진짜 수고했음...못하는 멤들 저음준다고 이서를 메보 두명 다음으로 고음셔틀 시켰는데 아직 나이도 어린데 안정적이고 잘했음...
108,  @NJ_5664,근데 애초에 가수들인데 못하는멤버 잘하는멤버가 나눠지고 누구는 고음을 못하니까 딴애가 대신하고..이런걸 하는거 자체가 웃김 ㅋㅋ 가수맞나?
109,  @gbv1, @NJ_5664 세대불문 아이돌들 다 그랬는데 뭐.. 실력보다 비주얼이 우선시 되는 게 현실임..
110,  @NJ_5664, @gbv1  그렇다기엔 아이브가 실력으로 너무 까이는데 ㅋㅋㅋ
111,  @user-hx4dd2ke1n, @NJ_5664  솔직히 나도 이렇게 생각함근데 이서 고음셔틀로 고생한건 팩트라서
112,  @user-le5dc7zu8u,이서가 레이파트 커버하느라 수고한건 맞지만 고음셔틀..?? 원래 레이파트에도 고음은 없었어서 대신한다고 해서 고음셔틀이라고 할껀 전혀없었음...후렴도 고음부분은 유진리즈가 다 부르고 이서는 낮은부분만 같이부름. 아이엠 오직 고음파트는 유진+리즈 몰빵
113,  @incandescent1008," @user-le5dc7zu8u 가성으로 얇게 부르는 부분 자체는 고음 맞잖아요. 그렇다고 탄탄한 고음이 있었던 건 아니지만, 숨이 차는데 콘서트나 행사마다 라이브 하는 모습 보여준 게 이서인데요.."
114,  @incandescent1008," @NJ_5664  모두가 보컬적으로 완벽한 걸 원한다면, 아카펠라 그룹을 파시는 게 어떨까요? 굳이 인기 많은 아이브에 대해 가수라 부를 수 있는지 입 터는 것 자체가 얼마나 위상이 높은지 반증하는 거랍니다......"
115,  @NJ_5664, @incandescent1008  아이고 제가 언제 아이브 위상이 낮대요?
116,  @incandescent1008," @NJ_5664 진짜 아이브 까는 사람들은 문해력이 하나같이 없냐... 그렇게 말하는 것들이 아이브 위상이 높은 걸 반증하는 거라고요 ㅋㅋㅋㅋㅋ 이게 무슨 말인지 이해 못하시겠어요? 님이 말 잘못했다는 게 아니라, 그렇게 하는 님의 행동이 아이브 위상을 높여준다, 위상이 높다는 걸 증명하는 거다, 이렇게 말 한거에요... 진짜 우리나라 사람들 어떡할라고 이러냐... 가수 실력 비판 전에 자기들 국어 실력부터 점검 받고 와서 글 써야지.. 글 쓰는 자격도 없는 사람들이 댓글에다 가수 자격 운운ㅋㅋㅋㅋ"
117,  @NJ_5664, @incandescent1008  ㅋㅋㅋ왜? 아이브 위상 내려치기 하고 싶은 단순한 아이브 까가 자기도 모르게 아이브 위상을 올려주는 글을 쓰고 있는 상황이라고 너혼자 뇌피셜로 이해했는데 알고보니 아이브 위상 내려치기 하려는 사람이 아니어서 당황 탊?ㅋㅋㅋ
118,  @NJ_5664, @incandescent1008  ‘ㅋㅋㅋ’ 질리도록 붙이는거 보니까 내 예측이 딱 맞네정곡 어택 성공했노
119,  @NJ_5664, @incandescent1008  그리고 내가 처음에 딱히 억까한것도 아닌데 첫마디부터 “입 턴다”라고 공격적으로 쏘아붙이는거 보니 중2병이 늦게왔나보네 중2병이 중2때 오는것도 복인데ㅜ안타깝다
120,  @incandescent1008," @NJ_5664  ....?? 대체 혼자 무슨 말을 하는 거야ㅠㅠ 너가 가수 맞냐며 무시했잖아. 그런 말이 하나도 안되는 소리들이 오히려 아이브 위상을 높여주고 있는 거라고 한 것 뿐이야. 진짜 말을 더럽게 못하네.. 이해는 하나도 안하면서 계속 말을 하려고 하는게 안쓰럽지만,,, 그래도 딩초인데 어케,, 인성은 중요하단다 얘야. 사회 나가서 그렇게 하고 싶은 대로 행동하다간 제대로 못살거야. 더 심하다고 말을 못하겠다.. 상처받을까봐 ㅠㅠ 앞날을 기대할게. 꼭 성장하는 기회가 왔으면 좋겠다."
121,  @incandescent1008," @NJ_5664 우와 신기하다...... 그래 끝까지 그렇게 생각해~ 너 죽을 때까지 세상 사람들 모두가 너를 부정해도 너 혼자서 그렇게 생각하면서 살아~ 그럼 어떻게 되는 줄 알아? 대부분의 확률로 사회 부적응자가 되겠지만, 0에 수렴하는 확률로 잘 살 수도 있거든~ 운이 좋은 편이길 바란다? 나는 대부분의 확률로 괜찮은 삶을 살꺼니까! 너를 보며 비웃진 않을게. 근데 확실한 건 나는 도움을 주려 했다는 거야~"
122,  @user-ry4nc9ii6i,안유진이 아이브 그 자체인 듯 진짜로.. 노래도 춤도 팀 내에서 제일 잘 하고 거기다 미친 비주얼에 피지컬까지.. 안유진 솔로 앨범도 내줘야 함 ㄹㅇ
123,  @mannya03,+리즈
124,  @geoak11,ㅇㅈ
125,  @DksdbwlssoRj,안유진 김지원은 진짜 그냥 미쳤다 빡센 춤 추면서 저렇게 안정적이게 고음을 부르다니..심지어 안유진은 춤도 존나게 잘춤 안유진 역대급 올라운더…
126,  @22chae,"유진이 리즈는 당연하고 이서도 대단하다,, 가성도 예쁜데 삑사리 날 거 생각 안 하고 진성으로 데! 자! 뷰! 하는 거 넘 .. 예쁘네"
127,  @_o.x_,짱귀여움ㅋㅋ 완전 야무져
128,  @user-ui8ux6fs3n, @user-sf8vb7gm3u  1:42
129,  @yss1046, @user-sf8vb7gm3u  데자뷰 하는 파트는 1절 2절 전부 전부 이서가 불러요~~ 장원영 파트 아니에요
130,  @seasonsoflove9507,"Liz, Yujin, and Leeseo really shined in their vocal parts. I’m especially surprised by Leeseo tbh"
131,  @namjooning1017,"me too. I'm proud of the fact that she improved because if some idols had her face and popularity, they'd decide not to improve at all. But Leeseo, even though she lost stability a bit, is singing so well considering her age and the fact that she trained the shortest and she even improved so much in a short period of time. She can only go upwards from here."
132,  @KpoppingWorld143,Yeah that's really impressive 
133,  @harusberisi3,I so surprised too .lesseo improved lot her vocal
134,  @-_-gone-_-,The whole group did well
135,  @user-lz9rh8qw6g,와 유진이랑 리즈 고음 죽인다…이서도 이번 노래에서 음색 미쳤다 ㅠㅠㅠ
136,  @angdoll,유진이는 단순히 고음이 올라간다가 아니라 힘이 남다르다 올리는게 아니라 위에서 찍어누르는 힘이 느껴짐. 올리는 고음보다 찍언 르는 고음이 진짜 간지남
137,  @user-pn4pi3le3j,ㄹㅇ 그 힘 덕분에 곡의 중심이 사는듯
138,  @user-gl1kp2zf2g,와 저렇게 춤추면서 고음 시원시원하게 지르네 리즈도 좋은데 유진이 진짜 미쳤다...
139,  @user-hu9od8ll8n,안유진 대박이네.. 예쁘고 인기 많은 친구가 이악물고 고음 파트 깡으로 다 질러버리니 더욱 호감... 이서 음색도 너무 좋고 리즈도 안정적이고... 근데 원영이는 비쥬얼은 미쳤는데 아예 소리를 안내는 건 좀 아쉽네요 ㅠ
140,  @in._.hye0330,진짜 다들 똑같이 노력해서 실력올랐는데 심지어 시작부분 낮은 음역대인데 장원영만 안부르니 여전히 안늘었구나 싶었.. 다른멤들이 다 잘해서 그런지 이번영상에서 더 차이나고 비교가돼버린 것 같음
141,  @kmchae11, @in._.hye0330  최근 음중 라이브 보몀 장원영 많이 늘었어요 소리로 많이 냄 이땐 왜 안 냈는 지 모르겠네요
142,  @7n871,​​ @in._.hye0330  첫방은 대부분 아이돌 립싱크로 함.... 왜이리 아이브 특히 장원영한테 각박한지 모르겠어요 이 무대 빼고 나머지 다 라이브 했는데..
143,  @7n871,첫방은 대부분 립싱크로도 많이하고 이 때빼고 다 라이브 했는데 좀 찾아보고 아쉽다해주셨으면
144,  @user-us9do8lh9s,원영님 잘했는뎅….
145,  @in._.hye0330, @7n871  안그럼 저 영상에서 열심히 죽어라 라이브 부르고 있는 나머지 멤버들은 뭐임? 왜 장원영한테만 관대한건지 도저히 이해가 안되네;; 뭐 장원영은 부르고싶을때만 부르는거임?
146,  @7n871, @in._.hye0330  부르고 싶을때라니 ㅋㅋㅋㅋ 엠카고 특히 첫주는 원래 라이브 안해도 된다니깐여? 안하는 아이돌 지금까지 얼마나 많았는데 게다가 저때만 안하고 나머지 음방 싹 다 라이브였어.
147,  @in._.hye0330, @7n871  자기 댓에 바로 좋아요 누른거보소ㅋㅋㅋ 아니 안그럼 첫주에 라이브 안해도되는거면 다른 멤버들은 왜 열심히하고 라이브 하는건데?
148,  @7n871, @in._.hye0330  누르며 뭐 어때서 ㅈㄹ임? 틀린 말 함? 원래 아이돌 첫주 ar깔고 립싱크가 대부분임 장원영이 못할 이유가 없잖아 ㅋㅋㅋㅋ 니가 이걸 문제 삼을 거면 모든 아이돌 다 끌올 되야하고 넌 장원영 실력이 안 늘었다 말했는데 전혀 동의 못 하겠음 박재범 드라이브 그건 ㄹㅇ 라이브인데 잘했잖아
149,  @in._.hye0330, @7n871  혼자 풀발하는거봐ㅋㅋㅋㅋ 화났엉?ㅋㅋㅋ 결국 내 말에 반박 하나 못하면서 내가 언제 동의하라했냐? 그래그래 넌 동의하지마~ 난 내 의견을 말했을뿐임 발닦고 가던길이나 가세요~~
150,  @7n871, @in._.hye0330  지 맘대로 말해놓고선 팬이 뭐라 반박하니까 내 의견 ㅇㅈㄹㅋㅋㅋㅋ 나도 내 의견임 ㄲㅈ
151,  @whatthefuxksay, @in._.hye0330  나만 들리는건가
152,  @user-pn4pi3le3j, @7n871  대중들이 각박할수밖에ㅠ 한결같이 라이브에 무성의하고 못하니까
153,  @suuyoo1684,​ @whatthefuxksay  음량 엄청 키우고들으면 원영이도 들려요! 부르긴했는데 소리가 좀 작은듯요
154,  @user-dl1vj7no8c, @7n871 안유진 고음 부르고 다른 멤버 열심히 하는데 장원영 혼자 안해도 된다는거임 ? 그리고 다른 그룹 머리채 끌고올것도 없는데 왜 언급하는지 ;;
155,  @user-hx4dd2ke1n, @suuyoo1684  ㅇㅈㄹ...mr은 완벽하게 제거 못함
156,  @user-vj6df6oj9t,mr제거하면  낮은음 많이 날라가서 장원영 파트 잘 안들리는거임
157,  @in._.hye0330, @whatthefuxksay  들리면 뭐함 가수인데 진심 저게 노래를 부른다라고 생각하는거임?
158,  @Misilsaejoo,요즘에 하도 라이브 안하는 가수가 많으니까 “첫주엔 라이브 안하는”게 당연한 시대가 됐네 ㅋㅋㅋㅋㅋ 다른 멤버들 잘해서 댓 달러 왔다가 장원영 억빠에 토악질하고 감
159,  @188cm86kg,​ @Misilsaejoo  첫주라이브면 ㅅㅂ 다른멤들은뭔개고생노예짓임ㅋㅋㅋㅋㅋ
160,  @user-lf5uj4gb1b,본인이 할 수 있는 파트를 해야할듯. 실력에 비해 파트욕심이 과함
161,  @sloth0328,​ @7n871  애초에 첫주에 립싱크 한다 치고 봐도 유진 리즈 가을 이서 다 라이브 하는거에서 답 나오는데ㅋㅋㅋㅋ 장원영 다른 무대에서도 전부 립싱크
162,  @dunhillman18,​ @whatthefuxksay  응 니만 들림 진짜 나도 안들림
163,  @user-td6mi2ei9w,리즈 파트 들었을 때 순간 눈 ㅈㄴ 커졌음이 곡 자체가 음이 높아서 라이브 못 할줄 알았는데 기대 아상으로 잘해줘서 넘 고맙고 대견하다️️ 이서도 라이브 실력 진짜 늘었음 다들 앞으로 활동 열심히 하자
164,  @user-uj7sj8qp4l,라이브에 대한 말이 많은 시점에서 오히려 이서를 리무진서비스에 나오게하고 타이틀도 고음으로 정면승부하는 모습이 너무 멋지다 진짜 자기 길만 가는게 노래 컨셉에 그치는 행보가 아니라서 멋짐
165,  @colaaqua6566,안유진 저 춤에 저 라이브라니 체력도 실력도 미쳤네요..
166,  @user-ni6iz7hp7b,진짜 이서는 레이 파트까지 부르느라 정신 없었을텐데도 음정 정확하고 잘부른다 유진이랑 리즈는 제일 높은 부분도 쉽게부르고 레전드인듯..
167,  @user-kv2gd3vd1m,이번 신곡 좀 높아서 라이브 걱정했는데 생각보다 진짜 잘한다.. 특히 리즈 유진 고음 대박이고 이서도 지지 않네..!!
168,  @user-ps2vv5uq4m,리즈 유진 대박아이엠 역대급으로 좋고 실력도 돋보입니다
169,  @user-oz3yv3fp8n,와 안유진 ㅠㅠ 저렇게 추면서 노래도 다 소화하네 ㅠㅠ 미쳤다는 말밖엔..
170,  @niconicotine1040,why is no one talking about how leeseo is literally so stable here
171,  @aniskhadeejah4567,right leeseo's vocal and stability really improved this comeback im so proud of herr
172,  @christellet3922,"YESSS, shes so young too and singing so well!"
173,  @shreyahkr,"she learnt a lot in 7 months,proud bb"
174,  @Pughhead,Probably because it's pre rec
175,  @0000zz2,​ @Pughhead  its not. Pre records have autotune. Theyre shaky here.
176,  @0000zz2,​ @Pughhead  this is waaay too messy for a prerecord.
177,  @lucasaloficial8653,​ @Pughhead  not pre rec because we can notice the diference in intonation
178,  @syarifahmaulidya7267,"Yes, she improved a lot"
179,  @lucasaloficial8653,Im so happy with Leeseo singing live. Her voice is wonderful and stable now
180,  @aphroditesoul,She is actually so good the fact that she covered Rei's parts in a short amount of time its insane
181,  @evelinramosmiranda619, @Pughhead  its not pre recorded lmao you can hear the mic sound at 0:05
182,  @tubatubeomy,noticed that too
183,  @orangelady416,Fr. But IVE noticed she's almost always been stable
184,  @Pughhead," @evelinramosmiranda619  They use mics for prerecording too, that's how they, you know, record."
185,  @tusjinn9274,The Leeseo we know during Eleven era is back
186,  @argiangucaprawira3838,I hope she improves her dance too
187,  @yu-gh1vu,本当それ イソもっと評価されるべき…
188,  @nekograce7914,Literally everyone is talking about it lol.
189,  @niconicotine1040, @nekograce7914  i commented this like 3 days ago when no one was talking about it literally learn how to read
190,  @whydouloveme,이서 가성 쓰는 거 좋다 라이브 너무 잘하고 파트 진짜 잘 가져간 듯
191,  @user-tt6mm2kn4o,리즈 음색 미친거 아님...? 음색도 독특한데 고음도 냅다 질러버림....진심 최고....
