Unnamed: 0,아이디,댓글 내용
26,  @ooi_io,이런 시련도 실력 키워서 이겨내야 진정한 독기 그룹이라고 생각함 다음 앨범에도 그대로라면 독기고 뭐고 다 갖다 버려야 할 듯
27,  @blatist,i’m unforgiven of these vocals
28,  @kween_pen,that’s why stable vocals are important in encore 
29,  @lenanoldor6789,"Everyone can sing but not everyone has the voice to be a singer.Btw I'm impressed by Eunchae's voice, her voice is stable and unique."
30,  @SYEJ92,no one's talking about Chaewon when she's literally the most stable here ???
31,  @user-mq4tq1bb5j,"진짜 라이브 박살났다,,,,"
32,  @julia_park,"03:11 허윤진 조아해서 이 파트 엄청 챙겨보고 그랬는데,,,,, 이 랩 절고 철없이 외쳐대는부분,,,,ㅠ 담 앨범은 보컬 연습 마니하자.. 이어지는 사쿠라부붕까지 충격이야"
33,  @allisonchoi8735,"Although they improved, they’re still not at the vocal level of an average idol yet. Chaewon and yunjin def saved the group"
34,  @ibelieveinmiracle,"Wow Eunchae sounds so stable and confident, I’m really surprised, she’s so good (and others are good too of course)"
35,  @Minnilyn,2chae en yunjin carrying lesserafim vocals
36,  @mytotoll2116,카즈하 노래는 영~아닌데랩할때 목소리도특이하고  진짜듣기좋다독특하고 랩찰떡
37,  @airpracio8319,Chaewon's voice is really stable though
38,  @abigailrocksyou,CHAEWON SHOULD HAVE A LOT OF LINES. SHE'S THE ONLY ONE WHO CAN SING PERFECTLY. yunjin is kinda good
39,  @soojinoh351,"Yunjin, Chaewon, and Eunchae had very stable vocals.  Sakura and Kazuha are still amazing but i had no words during this 3:15"
40,  @gayatrig1346,Chaewon carrying the whole team like the queen she isManchae shocked me she's so good
41,  @Telegater,3:15 Sakura and her unforgiven vocals
42,  @joistories6537,why is no one talking about yunjin she sounded so good
43,  @sandrabrown3276,Unforgiven한 실력이다진짜ㅋㅋ
44,  @user-st5yb7yf7t,엔믹스가 진짜 쩌는거네 ㅋㅋ
45,  @tess8691,"i was so shocked when they gave kazuha such a challenging part in the second verse and my fears were confirmed.. she’s much better as a rapper. her opening the song was perfect and her bridge was good, she just isn’t strong enough in singing to do stuff like that and that’s okay. chae and yunjin are great singers and eunchae is on her way. LE SSERAFIM FIGHTING!"
46,  @ooi_io,이런 시련도 실력 키워서 이겨내야 진정한 독기 그룹이라고 생각함 다음 앨범에도 그대로라면 독기고 뭐고 다 갖다 버려야 할 듯
47,  @blatist,i’m unforgiven of these vocals
48,  @kween_pen,that’s why stable vocals are important in encore 
49,  @lenanoldor6789,"Everyone can sing but not everyone has the voice to be a singer.Btw I'm impressed by Eunchae's voice, her voice is stable and unique."
50,  @SYEJ92,no one's talking about Chaewon when she's literally the most stable here ???
51,  @user-mq4tq1bb5j,"진짜 라이브 박살났다,,,,"
52,  @julia_park,"03:11 허윤진 조아해서 이 파트 엄청 챙겨보고 그랬는데,,,,, 이 랩 절고 철없이 외쳐대는부분,,,,ㅠ 담 앨범은 보컬 연습 마니하자.. 이어지는 사쿠라부붕까지 충격이야"
53,  @allisonchoi8735,"Although they improved, they’re still not at the vocal level of an average idol yet. Chaewon and yunjin def saved the group"
54,  @ibelieveinmiracle,"Wow Eunchae sounds so stable and confident, I’m really surprised, she’s so good (and others are good too of course)"
55,  @Minnilyn,2chae en yunjin carrying lesserafim vocals
56,  @mytotoll2116,카즈하 노래는 영~아닌데랩할때 목소리도특이하고  진짜듣기좋다독특하고 랩찰떡
57,  @airpracio8319,Chaewon's voice is really stable though
58,  @abigailrocksyou,CHAEWON SHOULD HAVE A LOT OF LINES. SHE'S THE ONLY ONE WHO CAN SING PERFECTLY. yunjin is kinda good
59,  @soojinoh351,"Yunjin, Chaewon, and Eunchae had very stable vocals.  Sakura and Kazuha are still amazing but i had no words during this 3:15"
60,  @castard6721,사쿠라 성대로 '노래하는 직업'을 십몇년 한다는 사실이 ㄹㅇ 트루먼쇼
61,  @user-rn3bg9pr3o,1위 시켜주는 이유가 1위할만한 애들인지 검증하기 위한 자리인듯...
62,  @user-dh3bk8kc1w,"라이브ar, 후보정에 속지말고 이게 진짜 르세라핌 수준임"
63,  @Vanessa_zmr,In all the group chaewon and eunchae have more stable vocals than the others
64,  @Belbel_the_giraffe,YUNJIN SLAYING THE VOCALS... SHES SO STABLE 
65,  @user-cu7xb6zk4e,김채원 조졌다는 표정이 킬포임 ㅋㅋ
66,  @amianime05,They did such a great job I've tears in my eyes for those people who are talented and not get chosen to be idols instead these people are chosen for i don't know what reason maybe for visuals. 
67,  @common-pr1ug,"르세라핌이 팀적으로 봤을 때 보컬실력에 한해서는 다른 역량에 비해 확실히 부족하지 않을까 싶음.. 소수의 잘 부르는 멤버들과 그렇지 않은 멤버들이 티가 남..다큐나 녹음비하인드 보면 진짜 멤버들 모두 열심히 하는 게 느껴짐.., 앵콜도 성실하게 부르고..진짜 열정적인 게 느껴지는데 열심히와는 별개로 채원, 윤진 제외 가수로써 전달력 있는, 그러니까 소위 말해 아마추어와 달리 실력있는 노래실력을 가지고 있나? 라는 의문이 듬.. 카즈하는 연습생기간이 총 6개월정도이기 때문에 그 단기간에 엄청나게 출중한 재능이 있지 않는 이상 단련되고 발성 제대로 잡힌 보컬이 나오기가 쉽지 않은 게 당연한 것 같음..사쿠라는 모르겠음.., 아이즈원 때부터 진짜 열심히 노력하는 것 같은데 노래쪽으로 재능이 조금 부족한가 싶고.. 은채는 1인분을 해내지만 윤진, 채원만큼의 알맹이 있는 실력은 아닌 것 같음..아이돌은 가수잖슴.. 퍼포먼스도 빠질 수 없지만 부가적인거고.. 요즘들어 보컬실력이 완성되서 나오는 아이돌이 많이 드문 듯..음악적으로도 음원듣는데에 있어서 보컬이 제일 중요하구..르세라핌한테는 이게 과제일 듯 함"
68,  @loriiiii7886,Kazuha and Eunchae have so much potential..like damn they improved so much And i hope Sakura will gain more confident it seems like she's nervous
69,  @ER-pm3jt,김채원이 노래 춤 다 캐리하는 그룹....
70,  @BucinYoongi-ew4mg,I hope they can still continue to learning....their songs are great
71,  @allanmhanson,"Eunchae was really good to be the only debuting idol.Lets give her some time, her voice is beautiful."
72,  @tinbantilan5136,"YUNJIN IS SO EXCELLENT IM SINGING LIKE I WANNA CRY,  I ENVY HER VOICE "
73,  @ilham-bv1sg,Chaewoon Yunjin and Anchae are the most stable memebers
74,  @demonslayer4951,What tf! Kazuha is not a singer but she did well. I thought she's going to strugle live singing but she didn't. She is improving drastically Congrats Le Sserafim well deserved!
75,  @user-kl7tu1pq8z,작곡가가 부르는 거 보세요 진짜 좋아요 신인여돌이라는데 진짜 잘해요!!!
76,  @anonyrizzzz,Yunjin voice so powerful main vocalist material
77,  @mamangsvlog9814,"Yunjin's ""watch me now"" is so unforgiven"
78,  @tokiiena,eunchae yunjin and chaewon always has amazing vocals to showcase
79,  @kimtaehyungry7085,is it just me but i was getting into them until i heard the encore  what has kpop become 
80,  @jongininibear210,"kkura-yaaaah! we're here for you, don't get nervous. believe me there are hundreds of us who are going to support you forever. we got your back. just do everything you want, what you've practiced and what you learned. you and us are the most important ones in this world. LOVE YOU, KKURA! MWAH~"
81,  @JakeReeves001,Yunjin and chaewon has the best live vocals by far
82,  @sllh4768,YUNJIN AND CHAEWON VOCALS OMG 
83,  @cherriekadavis9933,reading the comments made me think this was gonna sound TERRIBLE but it really isn’t that bad  they sound rather nervous but besides that their voices are great
84,  @VananhNguyen-tn8cy,Chaewon’s vocals still got me shook .  You’re doing your best ladies! Don’t listen to the haters!!
85,  @user-pm7bj3kd4v,2:20 2:29 3:24 3 of them sang so good live
86,  @tightnari,eunchae is SO stable im so proud of her. goodjob manchae!!!
87,  @meimei37167,sakura and kazuha were clearly struggling and you can see it on their faces when they sing their parts
88,  @bangsvtpink,"Yunjin, eunchae and chaewon slayin em vocals"
89,  @user-ym8hj4jr5m,기계음만 오지덜던 라이브 레전드다ㅋㅋㅋㅋㅋㅋㅋㅋ
90,  @aespaloveyouu,팬들 주접인 줄 알았는데 카즈하 랩은 진짜 생각보다 괜찮네
91,  @lucy1275,La verdad es que estar acá después de escuchar el de Aespa hace que no pueda evitar comparar  a ambos grupos. Por cierto más líneas para Eunchae se que ella tiene mucho para mostrar su voz es la que más me gusta
92,  @user-zl5tz6vx5j,카즈하가 생각 보다 랩을 개잘하네 톤도 특이하고 ㄷㄷ 근데 보컬 파트는 채원이 나눠 주자 그냥 ㅋㅋㅋ
93,  @rjstandsforrapjin,chaewon's voice is angelic..
94,  @PrasurjyaChetia,3:15 and 3:33 And the chorus ofc. I'm literally dead
95,  @ori0707,은채는 보컬 인정해 줘야함
96,  @luvellyreen,Chaewon is really the most talented in the group
97,  @Zahraa_q,"Ok but yunjin, chae an eunchae did goodwaiting for the others to improve and serve vocals in the next time"
98,  @im_daenieee,"Eunchae voice did so well, she's improved very muchhh"
99,  @sootai6836,Las voces de eunchae y yunjin me encantaaan
100,  @sofiahaque7990,chaewon basically sounds the same im in love with her voicethe other members were also kinda good
101,  @kkyulTV,라이브 실력도... 점수에 넣는다면 어떻게 됄까
102,  @izmiazizah8847,their voices..
103,  @azmirakhalid6072,Chaewon and yujin ate their live vocals !
104,  @Ruki9410,"Sakura, its okay to nervous! Her fear is still strong but just remember to be fearless!! Sakura fighting!!!"
105,  @fairyy_olivia,"Eunchae chaewon and are the only ones who had stable vocals yunjin was clear she was struggling a couple times but she slayed, kazuha only had 3 months of training so that’s reasonable that she is off key sometimes but Sakura debuted 3 times and has been a idol for nearly a decade and still needs vocal training "
106,  @kai-5612,chaewon and yunjin literally carried 
107,  @rahimahmed5292,Aii ya forgetting how good eunchae was cuz nah she killed it as well as chaw won and yunjinb
108,  @stacrtnvrlndtnymoamdzengnfrnt,"ONLY YUNJIN, CHAEWOM AND EUNCHAE HAVE STABLE VOCALS "
109,  @dreaminne5052,와.. 진짜 깜놀..  심사할 때 그렇게 엄격했던 방시혁이 프로듀싱한 그룹 맞나요 ? 박진영 비 라이브 보고 많이 배워야겠다... 참고로 그 두분은  40 50대임
110,  @rachelgreen4036,Does anyone else think their breathing technique needs work but they would be amazing once thats perfected?? I love their vocal colours. Yunjin is my favorite. Also love how deep Eunchae's voice can get.
111,  @user-vv1ug4ik1x,팬들도 들으면서 숙연헀을듯..
112,  @idkjustme25,chaewon and yunjin did so good. eunchae being the maknae also did good........ but sakura and kazuha . okay kazuha trained for 5-6 months but sakura is in the industry from a VERY LONG TIME.go the j-line of le serrafim!! give us nothing 
113,  @mirae_pg.jissoo,"Sakura you are doing great, I hope u gain confidence more!! Sakura can do well I can see her singing capabilities"
114,  @berryberry_lux6582,"The vocals , doubting how good they sound in tracks vs life 🥹"
115,  @user-by9wq3ey1k,채원이 진짜 안정감있다
116,  @wiseone4751,FIGHTING YUNJIN! CHAEWON! EUNCHAE! KAZUHA! SAKURA!!
117,  @cowidowi4608,eunchae's vocals were on top
118,  @sooo93,본인들이 가만히 서서 라이브로 소화 못하는 곡을 앨범으로 냈다는 사실이 좀 충격……
119,  @user-kh7cg8bj1y,와 채원이진짜잘부른다...
120,  @KINorzOTL,이래서 콘서트 할수있음.....?
121,  @Amani-uj9zk,Chaewon is so talented 
122,  @melktea11,LMAO YUNJIN FORGETTING THE LYRICS IS SUCH A MOOD
123,  @catuxscreams,Chaewon vocals is superior ♡
124,  @markys000,AAAAA QUE ORGULHOOOOO DE VOCÊS!!!!!
125,  @ridhimasingh8587,chaewon sings beautifully
126,  @fluffypocky,Being nervous is actually a consequence of being bad and not the other way around (in reference to some comments about some members). Chaewon and yunjin slayed as always tho
127,  @ba201,Unforgiven 한다는건 본인들 실력이었나보네 저런 실력으로 실력파 언플한건 진짜 Fearless 그자체
128,  @inxypinxy_stories,Chaewon is so stable and Yunjin's note at 2:33 was very well executed! So proud of all of them! 
129,  @serafinahart4012,eunchae and kazuhas vocals have improved so much queens
130,  @junzies,Chaewon is literally the best wtf
131,  @coffee_is_good6255,Kazuha and Sakura giving us nothing 
132,  @UniCornisss,Eunchae's voice is so deep im in loveee 
133,  @Riishiu,Sakura and kazuha are unforgiven
134,  @kimyeontan1422,chaewon omg such a beautiful voice
135,  @Love_white,윤진 채원 노래 진짜 잘 부르는다
136,  @debb7,so proud of you girls!!🩷 did amazing
137,  @ro0dina,Eunchae vocal is pretty
138,  @Haris4024ever,still fire till this day 
139,  @sleepy-zzZZ,誰よりも練習期間が短く経験の少ないカズハの歌声に驚いた！どこまでも成長が止まらない、素晴らしいプロアイドル努力の天才
140,  @JannypetKz,Congratulations girls  Yunjin's voice so powerful 
141,  @yoonie8912,Guys! Kazuha can sing and she does sound like her studio version until the second verse. All low toned parts she slayed but struggled with the higher notes. Hope she improves going forward 
142,  @ten6598,레전드영상...또 보러 왔음ㅋㅋㅋㅋ절대 삭제안됐음 좋겠다
143,  @taka8193,何回も聞いてるうちに、ユンジンとチェウォンがレベチに上手いことがわかるなぁ
144,  @keerthanas8038,YUNJIN AND CHAEWON'S VOCALSS  SLAYYY
145,  @strawnut6652,2:36 absolutely killed it. Like literally killed it and ripped up every single note 
146,  @moepyaesoneoo9421,I am surprise by Eunchae vocal.Eunchae vocal is so sweet
147,  @user-gi2mg2ox4x,놀라운 점 하나 말씀드림:김채원이 춤도 제일 잘추고 노래도 저중에서 제일 잘한다 심지어 인기도 젤 많음 ㅋㅋ 르세라핌 직캠 조회수 1위ㅋㅋ 이정도면 르세라핌은 김채원 없으면 ㅈ망함
148,  @user-zm8fr9kw3g,김채원 실력 겁나 좋네
149,  @chingu_ya,"девочкам нужно уделить больше времени вокалу тт тт танцы прекрасны, видно, что много тренируются, но они все еще исполнители.."
150,  @ME8WW,yunjin killing with her vocal
151,  @K_Aeigs,다음부턴 회사 후보정팀이 올라와서 앵콜무대 불러라.
152,  @diahang.,kazuha eunchae vocals they’re improving proud of them
153,  @lolol0veu_,YOU DID WELL GIRLSSSS 
154,  @aimesoares8180,Chaewon and Eunchae are so good!
155,  @user-jn8kw3ef7e,와 역시 아이돌은 아무나 하는게 아니라는걸 느낍니다. 노래도 잘하시고 춤도 잘추시고 얼굴도 완벽하시고 너무 멋져요 :)
156,  @kyrstenpaige7562,wow wow WOW! chaewon when did you get so good?? since forever i guess it seems! her voice is so goodzuha!?? wow your not even a vocalist but still sound this good? enuchae is pure. her voice are very much improved! and yujin did so amazing the opera singer in her
157,  @hack-on3031,"The whole encore is carried by Chaewon,Yunjin and Eunchae honestly"
158,  @aldonovendi3748,eunchae and kazuha vocal  they improve so much!
159,  @sinceritychoi6746,곡 자체가 부르기에 까다로운편도 아니고 음역대도 걸그룹 노래치고는 낮은데 라이브가 이렇게 불안정하면 이건 진짜 연습이 부족했다고 밖에 할 수가 없음
160,  @Vanessa_rdx,"To be honest, I was a little shocked.. I understand that their voice was shaking, but their vocals just tear me apart.."
161,  @hiariluuv__,"Yunjin, Chaewon and Eunchae really shocked me. Their vocals were awesome! Go girls !!!🫶🫶"
162,  @user-dg4rc3ys4i,우리 핌두이들의 아쉬운 노래실력을 봤지만  그래도 사랑해!! 앞으로 악플들 때문에 스트레스 봤지 않고 연습 꾸준히 했으면 좋겠어 르세라핌!최고!  짱!
163,  @user-nh4bj2ot2j,채원 노래 잘한다.
164,  @yoana130896,Sakura you must to be confident on your singing!! I believed you can do it. Im so proud of u🫶
165,  @adellaaputh7453,really in love with eunchae's voice and chae sounds really as the cd!!!
166,  @anonyrizzzz,Yunjin voice iss so powerfull
167,  @Bunny_Nwjs,Chaewon yunjin eunchae carry the vocal live
168,  @SELMA897,"Вииииии,какие они классные и милые"
169,  @FraxineDorothy,eunchae atee im so glad they gave her more lines
170,  @Sleepy_1968,"I'm so proud to be a FEARNOT, Congratulations LE SSARFIM on your first win. Your encore stage was done well by singing live. All of you sang well. Sakura, you are doing fine. Keep up the fight."
171,  @user-qo3zs7dz4s,채원이  진짜로 잘해!!
172,  @danxjk,Eunchae you slayedddd
173,  @btsforever4461,Yunjin and chaewon slayed...
174,  @GhuIam-e-Mustafa,I’m sorry but Sakura being in this industry for 10 years really should get her vocals better
175,  @user-vb6kb3xf9c,"채원,윤진이 잘한다"
176,  @msj0015,"I am surprised by kazuha the most. I already know Yunjin & Chaewon are the best vocalists in Le sserafim, and Eunchae next. All 3 of them are pretty good singer, they were trained for long but Kazuha! She spent her 15 years of life doing ballad, joined as a trainee bcz she was just curious. And now, HYBE giving her hard choreo in antifragile, she slayed. They now gave her hard notes to sing in pre-chorus, she slayed it too. It's scary how fast she is improving. Despite training for short her voice is already very stable. If they train her well, she even can become main vocalist in the future."
177,  @xxyewon,우리 채원이는 늘 잘하네  쿠라도 화이팅
178,  @aa-zu1qf,말모 실력파 호소인 개음치돌 독기언플 개웃창이신
179,  @roses_b,Chaewon and eunchae are literrally the only two good Im shocked but prouf of this duo
180,  @vampedtone,chaewon is amazingggg
181,  @Hb-me8dl,only yunjin and chaewon can sing in this group
182,  @moresupriya003,Look zuha her trainee period is just 3 month and she has developed singing and rap better after fearless. Zuha fighting. Lesserafim congratulations
183,  @riyankhan4389,Eunchae and chaewon are the best stable here!!!!!!!
184,  @minimochi5021,No one is mentioning our girlie Kazuha? She sounded so good too!
185,  @user-tx7ei6vm7o,얘네들은 댄스에 특화되어 있는게 확실하다 노래는 그냥 안드로메다에 갖다났네.....
186,  @boppop8703,Congrats on your win Le Sserafim!!
187,  @thelegendaryanime6891,Rating live vocals from this encore:Chaewon 9/10Yunjin 7/10Eunchae 6/10 Kazuha 3/10Sakura 2/10
188,  @kijoringgg1765,Kazuha's vocal surprisingly good!!! Congrats lesserafim for unforgiven first win 
189,  @user-or5qt2rs3g,緊張しないで咲良ちゃんの声大好きだからね〜
190,  @gougou3991,No one’s talking ab Eunchae like she’s so stable..
191,  @jk_bro9377,소성진 언급 하.. 라이브.. 와 ..여자친구 ㅎㅎ 와우...
192,  @timomeelo2971,"hybe should invest more on their vocal, no shade they're good and will be unstoppable id that vocal is met 🫶"
193,  @whatdoyouevenknow,Chaewon vocals
194,  @rachaelhoang66,"manchae is so surprising! She’s already so good at dancing and variety, now it’s singing! she’s gonna become a monster in a couple of years!!!!"
195,  @julianakassia95,So cute Keep fighting never give up lesserfim rememberYou are unforgivenI loved this encore energy
196,  @cristinapalma5319,"chaewon and yunjin voice is amazing, the rest can still improve! I don’t know why y’all are so hateful when encore are supposed to be fun, third generation idols would scream and jump around and change lines and no one was coming for their vocals bc encores where not supposed to be serious… let them have fun for once"
197,  @aespa_slay,They are allowed to have fun...they sound great
198,  @rf0880,Волшебно 
199,  @Heeseungcutie,The thing is they want Kazuha more parts since she’s famous now but that high bridge part is hard for her
200,  @EJ-wn3my,Wow Kazuha you surprised me Her rap sounds exactly like studio version and her vocal really really improved a lot 
201,  @user-ig1tf8qe8g,채워니 짱잘한다ㅏ
202,  @doaafoad4151,Sakura I'm so proud of you ️
203,  @user-py1yd8nx5y,다들 막 까는데 그와중에 채원이는 너무 잘함 ㅠㅠ역시
204,  @mydark11,Congratulations LE SSERAFIM 
205,  @user-fq6ds7wx6s,노래방 옆방 폼 미쳤따
206,  @heartbeat7223,Kazuha really improved so much
207,  @mintchocoicecream7968,Chaewon saved this encore stage
208,  @user-qd6cw2uw4k,진짜 잘하고 수고 했어  great job!
209,  @abcdefghi_lmnopqrstuvwxyz979,Chaewon yunjin slayy it
210,  @user-rq7wl5tr1l,허윤진이랑 김채원이 진짜 잘 커버하는거구나
211,  @dorayaki_00,Le sserafim fighting 
212,  @datasync8444,"Sakura is so nervous . Please don't be afraid kkura, you already improved a lot. Congrats again fimmies "
213,  @tvever4800,"은채,채원,윤진이 개잘해"
214,  @JohnGreene-jy3ei,"Vocal line is shot! The kpop industry has been on downward spiral talent-wise. Almost no one sings live these days. When they do, they sound like this. "
215,  @okywhatever,Both chae sounds good nd stable only! Eunchae needs more lines!
216,  @shweyati7165,"A shout out to those who keep saying Sakura doesn’t deserve less lines. Come here and watch, why she still having the less despite of being the most popular member"
217,  @febreeze5525,Chaewon and Yunjin carried this
218,  @fromdaegu,how can chaewon's voice sound exactly like in the recording omg
219,  @didiii445,"I love them with all my heart, like seriously, but Chaewon is the only one who's actually decent here."
220,  @sagunbhola6136,"For me chaewon and yunjin and somehow eunchae also are good at singing live but kazhua and sakura need more vocal practise for singing live:absolutely no hate,cause this is one of my fav gg!"
221,  @user-ny3ut7bj3u,I think only Chaewon can sing 
222,  @doaafoad4151,My girl Eunchae I'm proud of you
223,  @raunakdey3004,Loved it ! Hope they tour NA
224,  @ca1m14,kazuha really devour this comeback her confidence her dance her vocals!!
225,  @Yubtube_0421,"채원이는 진짜 안정적이고 음원이랑 별다른 차이 없이 잘한다..️ 그 다음으로 윤진, 그리고 은채,즈하가 비슷비슷하네 근데 은채도 생각보다 잘해서 놀랐음"
226,  @treasuredefluffy9016,THEY'RE ALL GOOD!! still deserved tho 
227,  @grsexd,Chaewon es superiorrrr 
228,  @user-bi9oh6hf1w,채원이랑 윤진이가 완전 보컬짱이다
229,  @TOURGRLZ,"Sakura, I love you but these vocals are unforgivable ️🩵"
230,  @misc0615,Chaewon too good as usual that no one even mentions it anymore 
231,  @lolol0veu_,CONGRATSSSS MY GIRLSSS
232,  @user-rq9dd6lv4c,은채 생각보다 안정적으로 라이브 잘해서 놀람 이번에 파트 잘받은듯
233,  @ggguing,진짜 그저 'unforgiven'
234,  @user-yk2ob9sv7m,김채원 진짜 잘한다ㄷㄷㄷ
235,  @gotbangtanworld8323,Chaewon
236,  @michini,Y'all not gonna talk bout eunchae's vocals??She slayed so hard
237,  @abloulou3885,Im in love with kazuha's voice 
238,  @user-um3yz9sq2p,춤 진짜 잘하네 ㅋㅋㅋ
239,  @samash7302,The vocals….Damn…
240,  @mustafakaream4786,اصواتهن غير مستقرة يجب عليهن العمل اكثر بلمستقبل ️تشايون ويونجين اصواتهما رائعه ️‍
241,  @user-mj2qr3hq5w,4세대 유일한 댄싱팀
242,  @Valentin0593,Zuha  she’s really surprising me each comeback. Can’t lie she’s doing her thang and her vocals becoming better. Also let’s not forget how CONFIDENT she was.
243,  @user-is1zt8gb9w,ar 까는 무대 = fearlessar 없는 라이브 무대 = fearful
244,  @user-fn5hr2zb2t,김채원 음색여신이다!!
245,  @angelf722,3:21 ‘omg she slayed’
246,  @CringePatrol,Chaewon carrying the encore...once again 
247,  @user-dm5ip6sj7i,댄스팀 폼 미쳤다🥹
248,  @sxunkz,KAZUHA IS SO STABLE SHE'S SO AMAZING
249,  @the_jeni.,ok so idc how terrible sakura's vocals sounded THIS is a live stageedit:yes i liked my own comment
250,  @Dev-cw7cn,Yunjin and Chaewon seem to be only ones who can sing
251,  @watashiwajiji6883,I was so shocked hearing their vocals. Them i remembered where are they coming from...ok. Hybe like always 
252,  @TT-kp9ds,카즈하 랩 음원하고 똑같은데 언급이 마니 없네  즈하야 너무 잘했다 
253,  @user-fn5kk2om8c,이래서 노래는 실시간으로 들을 때까지는 믿으면
254,  @harisaazzahra7578,"Sakuraa, you did a good job "
255,  @Cherry_bubble,チェウォンちゃんとユンジンちゃん上手すぎてびっくりしたルセラ愛してるよ
256,  @Neliskaraoke,The five of them sound really good!How could you cut them off!
257,  @user-cq1rl5gb2v,3:15 레전드 시작
258,  @user-fu2pu7ju7d,채원이랑 윤진이랑 만채는 노래를 진짜 잘부른닼ㅋㅋ
259,  @user-ir6li1sx5u,김채원은 진짜 잘하네 ㅋㅋㅋ
260,  @hylamyc,The girls deserve the prize!! I’m glad that I have voted :)
261,  @aq7414,1위하면 실력 증명까지 해야되네
262,  @stephaniei2124, and they said give Sakura more lines
263,  @KJammin,용서받지 못한 그녀들의 목소리
264,  @N.91,2:30 me encanto Yunjin 
265,  @Haris4024ever,2:36 oh my goodness sakura you doing great 
266,  @seolover,"despite being in the dancing industry most of her life and only having a training period of about three months kazuha did exceptionally well for this encore, there is always room for improvement but im so proud of her for trying and improving daily, i feel so happy to see her confidently showcasing her vocals, i love you kazuha "
267,  @-o_o_o_o_o_o_o_o-,"I mean, Sakura and Kazuha were clearly struggling, but they weren't horrible. The others weren't especially good, but definitely not bad. Considering they're a Hybe artist, this wasn't actually a bad encore at all. In general, from what I've heard from artists under Hybe, those that have been under them from the beginning (not those who joined under them later like Pledis and KOZ artists) tend to have a lot of weak live vocal performances (ofc there are some good singers mixed in, like Lee Hyun, JK)"
268,  @user-bi8sv1ek7s,엠알 진짜 머쓱하게 주네
269,  @400lux2,well they are a very good performer and dancer stop hating guys every group has weakness. i hope they will improve tho
270,  @user-eo2ix5dp8z,일본멤버들 라이브 보니까 일본 특유발음 남아있는거였구나 ㅋㅋㅋ 음원은 보정을 얼마나한겨
271,  @maxadamdor,Their vocals”
272,  @Emma-xz5of,Eunchae did so well?? She sounds so stable
273,  @user-yf1rp9dr3p,허윤진 김채원 진짜 잘한다
274,  @fao1714,"I think they’re too nervous, not without strength"
275,  @umjunsickisalive,김채원은 쌉캐리ㅋㅋㅋ
