Unnamed: 0,아이디,댓글 내용
54,  @herahan5829,안유진+리즈 보컬이  주축이고   이서의 사랑스런  독특한 음색이 토핑처럼 팡팡 터짐리즈 없으면 아이브 노래가 완성   안되네
55,  @user-ul4ez6oj9i,솔직히 막줄 ㅇㅈ
56,  @lachimolalaarmy7323,"It's true, i love her voice️"
57,  @user-ib7sk7ts1u,ZZZZ
58,  @user-sv5ng7ko5y,유진이도..
59,  @Yeeun0616,고음을 왜 리즈랑 유진이 위주로 준건지 알겠다..고음이 팍팍 올라가네..이서도 노력하는 모습 보이고.. 이번 앨범 준비하면서 수고 했어
60,  @user-ey6eg8nq5p,"리즈, 이서 잘 들린다 최선 다 하는거 멋져요 오래오래 좋은 노래 들려주세요"
61,  @lachimolalaarmy7323,️
62,  @user-ub8rj9ef8e,"냉정하게 안유진 고음이 더시원시원함 여초에서 이악물고 장원영깔려고 비인기멤버 끌어올리기 작전 대성공한거같은데 이제 안유진도 너무 성공하니까 배아픈지 리즈만 빨고있음 ㅋㅋ저래놓고 소비는 안하니까 아이브는 멤버들이랑 소속사만 난처하겠지 댓글이나 커뮤니티글에서만 리즈 인기터지는데 실제론 전혀 아니니까역하다 역해 ㅋ 그렇게 있지가 망했지 채령 그렇게 댓글, 커뮤글 난리치면서 좋다해놓고 소비를 안함 ㅋㅋ"
63,  @user-xb5xq3eu2x,​ @user-ub8rj9ef8e 아 그래요?ㅜㅜ 근데 왜케 화가낫어요?ㅋㅋㅋㅜㅜ
64,  @saksakki0131,​ @user-ub8rj9ef8e  대중들 반응이랑 코어팬들 소비상황 다른 건 원래 다 있는 일인데 대체 혼자 화난 이유가 뭐지
65,  @user-ub8rj9ef8e,뻔뻔함그자체 ㅋㅋ 화난이유가뭐지~ 너네가 악플 고소무서워서 못다니까 지능적으로 아이돌괴롭혀서 화낫다고할게 ㅋㅋ
66,  @user-ob1ym9bw8g, @user-ub8rj9ef8e  근데 대중들은 실력 골고루 좋은 아이돌 소비함 아이브는 멤버중에 몇명만 실력좋으니까 당연히 대중반응이랑 소비는 갈릴수밖에 없음
67,  @Fearnot_yunjin,이서 부분에서는 춤이 격하지 않네요
68,  @user-mb4hi2kq5r,​ @user-ub8rj9ef8e  냉정도르는 웃기긴 한데 밑에 뭔 말인지 알 거 같네 ㅋㅋㅋㅋ
69,  @Love_white,그니까용 리즈 이서 음색 짱 좋아염
70,  @tggggdf7543,​ @user-ub8rj9ef8e  ㅋㅋㅋ리즈 언급 많아서 화났어??ㅋㅋ
71,  @user-ub8rj9ef8e," @user-ob1ym9bw8g  난 일레븐때 리즈 음색좋다고 생각했는데 그 때 돼즈드립밖에없엇음 이렇게 리즈 띄워주지도않았고 지금보면 그냥 지능적으로 인기멤버 괴롭히는 사이버불링이지 ㅋㅋㅋ 아이돌들이 댓글을 얼마나 많이보는데 ㅉㅉ 그거알고 저렇게 여론형성하는거 실제로 어느 멤버가 진짜 인기있는지  멤버들이나 소속사가 제일잘아는데 리즈, 이서 띄워주는거보면 얼마나 웃길까 그렇게 좋으면 소비를 해주던가 소비도안하고 댓글에서만 리즈넘좋당 ㅋㅋ"
72,  @user-mq3vm7xh6h, @user-ub8rj9ef8e  혼자 뭐라고 씨부리세요..?
73,  @kiki-jr5mh, @user-ub8rj9ef8e  닉값 전혀 못하네 리즈 일레븐 때부터 보랏빛 파트 화제될 정도로 반응 좋았고 금발 비주얼로도 반응 좋았는데 혼자 뭔 소리를 하는 거야... 리즈는 원래 항상 음색 좋고 노래 잘한다고 언급당했음 잘하는 것도 팩트고
74,  @user-wf5mw2fe1e, @user-ub8rj9ef8e  일레븐때 리즈 포카 시세 1등이었고 원영 유진은 이미 아이즈원으로 인지도 있는 상태였어서 그렇다쳐도 리즈 인기가 미쳤었음..;;; 러브다이브때부터 살짝씩 부으면서 여론 안좋아진거고 아이엠때 확 뺀거임 유진도 잘부르고 리즈도 잘 부르지만 유진은 확 지르는 고음을 잘하고 리즈는 특별한 음색이랑 부드럽게 고음을 잘냄 유진은 높은 파트만 맡다보니까 항상 불안불안 해보이는 경우가 있었고 리즈도 높은 고음일때 음색도 챙기고 고음도 내느라고 많이 힘들어하는 모습 보였었음 근데 이번에 유진 리즈 둘다 미친듯이 발전해서 앵콜 무대 들어보면 알겠지만 보컬 진짜 좋음 뭐 비인기멤 올려치기니 뭐니는 그냥 니 망상인거고..;;
75,  @user-bm9wq7pc4e, @user-ub8rj9ef8e  역한 건 팩트체크랍시고 소비도 안 하면서 이래라저래라 하는… ‘그’ 성별 ㅋㅋㅋㅋㅋㅋㅋ 장원영 여초에서 까이는 것도 팩트고 여초픽인 것도 팩트죠? 장원영 팬 성비 여자가 압살하는 것도 팩트죠? 리즈 데뷔 초에 확신의 여초픽이었던 것도 팩트죠? 꾸준히 칭찬받아왔던 것도 팩트죵? 안유진은 원래 장원영이랑 투탑으로 여초픽이었는데 남자들한테 인기 많아져서 남초픽 된 거죠? ㅋㅋㅋㅋㅋ
76,  @user-ne5oe3yr9q,아니 유진이랑 리즈 저렇게 빡세게 추면서 거의 흔들림 없이 고음 지르는게 진짜 대단하네 다들 실력 진짜 많이 늘었다얼른 1위해서 앵콜 보여주자!!
77,  @songkangg,리즈는 후렴에 메인 서지도 않는데 오디오 빵빵하게 헌신하네ㅜㅜ 리즈 목소리가 많이 들리니 완성도기 확 올라간다 참 대단하며 짠한거ㅜㅜ
78,  @dora1793,완전 공감해요!
79,  @user-fs2vb7hb8g,1:57 유진 -> 유진 + 리즈로 열리는건 부터 바로 리즈가 유진 보컬 받쳐주는게 진짜 멋있다.. 실력이 탄탄한 둘이서 저렇게 같이 부르니까 극락 가겠음
80,  @user-ks1dl9nn6z,ㅇㅈ
81,  @hohopopo1212,진짜 유진이랑 리즈가 후렴부분 라이브 성량 대단함… 어떻게 라이브하냐… 2절 팔어웨이랑 댓츠 마이 부분에서 소름 쫙 돋음….
82,  @dfggy,와 이서랑 유진이랑 리즈는 진짜 기특강쥐들이네... 말이나 되나? 저 고음에 개탄탄한 묵직함이 느껴져 솔직히 이 실력들이면 앞으로도 실력논란 같은 거 뜰 수가 없음 ㅠㅠㅠㅠ 너네가 아이브의 심장이다
83,  @user-cu2sy5ve4j,이서 실력 많이 늘었다 진짜
84,  @user-xp4ns2hr5h,이서파트부터 목소리 점점 커져가더니 고음 라이브로 질러버리는 리즈 덕분에 온몸에 소름 돋았다
85,  @alstj_doa,이서야 실력 너무 늘었어 자랑스럽다 진짜ㅠㅠ
86,  @danah7054,"리즈,유진 캐리 미쳤다.. 이서도 립싱크 안하려는게 보여서 넘 대견해애"
87,  @user-og4wq5zr3y,리즈 진짜 노래잘부른다 진짜 음색대박
88,  @KYUHYUNVLOG023,리즈고음 미쳣고 유진 보컬에 고음까지 갓벽 이서는 실력 진짜 많이늘었고 실제 mr제거로 들으니까 자신감도 있고 탄탄하게 잘불러서 너무조음 이거보고 최애 이서로 바꼈다...
89,  @shahaha142,유진 리즈 캐리 오진다... 노래 왤케 잘해 
90,  @abcedf,저는 이서도 잘하는거같다고 생각함 이서 실력 이정도였나
91,  @user-xq8sk2uz5b,장원영 토할꺼같다 표정.  노래는안하고 왜저럴까 싶음 ;;
92,  @Nuclear_Launch,​ @user-xq8sk2uz5b  ㄴㄱㅁ
93,  @user-xq8sk2uz5b,​ @Nuclear_Launch  ㄷㄷ
94,  @user-qh5rd1od8j,​ @user-xq8sk2uz5b  느금마
95,  @behasty-egg, @user-xq8sk2uz5b  아니 아무리 그래도 사람한데 토할거라는 말은 쫌… 그리고 파트가 없어서 그렇지 노래를 안 하는건 아니던데
96,  @Rex-_-, @user-xq8sk2uz5b  장원영은 성량이 낮을 뿐임 아예 안 하는 건 아님
97,  @Ns-mk5um, @Rex-_-  아예안하는건 아니긴함 거의 안함
98,  @user-fe6dq9nu7m, @user-xq8sk2uz5b  느거매
99,  @azzossi0831,원래 저음은 잘안들림
100,  @azzossi0831,​ @user-xq8sk2uz5b  와 얘 댓글목록 개악질이노 장원영이 부러운가보다 ㄷㄷ
101,  @Flying-Chicken,가을도 잘함 근데 아무도 언급 안하네 ㅠㅠ
102,  @I7hI,​ @Flying-Chicken  나쁘진 않음 
103,  @user-ge9xi5pz8w,이서… 미쳤는데…? 리즈 유진은 원래 잘하는 거 알았지만 이서ㅠㅠㅠ 진짜 잘한다…
104,  @user-rs3fh5lz7f,이서랑 유진이 발전한 것 충분히 느껴져요 그리고 리즈는 다같이 부르는 파트에서도 되게 열심히 부르고 유일하게 파트 고음부분 안 빼먹더라구요 역시 메보다. 사랑해 김리즈!!
105,  @user-wn2gp5ez6f,ㅎㅅㅎ 고음부분을 빼먹는게 아니라 오히려 고음부분은 다 라이브로 부르고 기계처리라고 해야하나? 프로그램으로 목소리에 필터같이 뭔가 씌우거나 맑고 울리게 만드는 등 그런 처리가 필요한 부분만 안부르는 것 같아요.그런 필터처리가 들어간 부분은 목소리만으로 낼 수 없고 진성이 섞이면 ar에서 나오는 노래랑 차이가 너무나서 이질감이 들고 원곡이랑 달라져버리니까 그부분만 립싱크 한것같습니당 ㅎㅎ리즈파트엔 그런 부분이 없는데 이서나 유진이 같은 겨웅엔 후렴인가 브릿지인가.. 하여튼 두세마디정도 있는 것 같아요.오히려 음으로 따졌을때 훨씬 높은 고음파트에서는 더 크게 라이브하는 것 같고요.칭찬하시는 것 같긴한데 리즈도 메보로 충분하다못해 넘칠만큼 잘하지만 다른 아이들이 고음부분빼먹고 라이브한다는 오명이 생길까봐 덧글남겨요ㅠㅡ그리고 이건 개인적인 의견이지만 리즈를 칭찬할땐 좋은 점만 나열해서 칭찬만 하시는 게 좋은 것 같아요.유일하게 안빼먹고 고음파트를 불렀다는 말은 다르게보면 다른애들은 고음부분 빼먹고 부르더라같은 교묘한 디스처럼 들릴 수도 있어 오해가 생길 것 같아서요ㅠㅜㅜ..다른 멤버를 디스하며 자기 최애를 칭찬하는 것만큼 자기최애를 욕먹이는 짓은 없는 것 같아요 ㅎㅎ물론 덧글쓴이님이 그렇다는 건 아니구 오해할 여지가 있다 말씀드리는 거고 다른 몰상식한 분들이 간혹 그러는 경우가 이써서 걱정되어서요ㅠㅜㅎㅎ그럼 좋은하루되세용!
106,  @user-ne5oe3yr9q,안유진 진짜 실력 좋은데 항상 실력 키워오는게 너무 대견함ㅠㅠ 춤도 가장 안날리고 잘 추면서 이렇게 안정적이게 3옥솔을 바로 올리는게 진짜 대단해...
107,  @Ooll2i,와 진짜 리즈 노래 잘하는거 알고 있었지만 진짜 고음이 시원하게 쭉 올라가네 대박이다
108,  @cryingcat5020,"메인 보컬 라인들은 말을 안 해도 알 것이고, 이서는 가늘고 높은 음을 확실히 더 안정적으로 부를 수 있게 된 것 같음!"
109,  @user-cv5vq9cy5e,이서랑 리즈는 미래가 넘 기대되는 보컬같아요
110,  @Flying-Chicken,가을이도 잘하는데요
111,  @user-fl9nz3ws5i, @Flying-Chicken  가을이 못한다는 댓 없는데요 ㅋㅋ
112,  @Flying-Chicken,​ @user-fl9nz3ws5i  아무도 언급을 안해서 한말임
113,  @user-ks1fg7fs6m,아이브라는 그룹 너무 기특함.. 대기록과 역사를 씀과 동시에 수많은 논란과 구설수에 휘말렸는데 주춤하지 않고 노력해서 발전한 모습으로 돌아오는 거 너무 멋짐
114,  @luciakim561,리즈 진짜 잘한다... 목 관리 잘해서 오래오래 노래 불러줬으면 좋겠음 ㅠㅠ️
115,  @user-zi6mv4dc4r,원래 출중했던 멤버들은 실력 증명한것같아서 쾌감 쩔고 가을도 라이브가 많이 늘었음ㄹㅇ
116,  @user-fu8uf2ds8o,옆에서 깔아주니까 잘해보이는거임
117,  @user-sn7ll1xu4b, @user-fu8uf2ds8o  그래도 이젠 부르긴함 전에 날리는거 많았는데
118,  @Daniellukaborchi, @user-hl5kf5ny7k  이정도면 쿼크 단위지. 나노는 이미 원영이 딸기 때 찍음
119,  @user-fq4qx5ih5e,존나못하는데 장원영 바로 뒤에 있어서 그나마 난..?
120,  @cutejeje,피드백들 보면서 본인들도 고민이 많았을텐데뭔가 정면돌파 하는 느낌이 들어서어린 친구들이 참 대단하다는 생각이 드네요.완벽하지는 않아도 필사적인 모습이너무나 감동적이었어요.기다린 보람이 있네요. 항상 응원할께요.
121,  @ElEl_LOVEs,하 이거 존나게 인정
122,  @user-dd6zc8wt6s,유진이  리즈 정말  잘부른다 
123,  @auriha05,진짜 춤추면서 노래하는게 힘들긴 한가보다다리만 안 움직이는 안무여도 목소리가 확 커지네아이돌들 대단해;;
124,  @user-gz7iw6jq5w,멋진 무대 만드려는 열정이 느껴진다.. 아이브 너무 사랑함
125,  @IrishLegend64,yeah it shows!!!
126,  @francisralph4004,Liz is unbelievable. Effortlessly done those high notes.
127,  @Jeriks,She’s great but I would not describe those high notes as effortlessly done  That said it’s still impressive for a live performance while dancing
128,  @cankh72,리즈가 MR 에 의지하지 않고 빠짐없이 노래를 열심히 부르는것에서 다른맴버들과 실력차가 느껴진다
129,  @user-zc8vv2cn4l,잼민아 니가 진짜 리즈팬이면 이런 타멤이랑 비교하는 발언 하는거 아니다 양쪽에 다 실례야
130,  @user-ov5hp8mh8b, @user-zc8vv2cn4l 아다
131,  @user-kb4qx4nwnwoic,​ @user-zc8vv2cn4l  타팬 입장에선 이런 댓글이 잼민이로 보임
132,  @Ring__l, @KEKW_XD  뜬금 없어서 쥰내 웃기네 ㅋㅋㅋㅋㅋ
133,  @STAR-uv2ci,"유진,리즈는 말할것도 없고 다른 멤버들도 이번에 제대로 보여줘서 너무 좋다ㅠㅠ"
134,  @tmspx579,YUJIN + LIZ sing together in chorus is everything !
135,  @superbluerock8327,Exactly 
136,  @gittageovanny5525,+ leeseo pre-chorus
137,  @tmspx579, @gittageovanny5525  Absolutely! Her angelic voice make me happy every time!
138,  @clear_weather,리즈가 곡 퀄리티를 높여주네 유진이는 원래 잘하는거 알고있었고 이서가 열심히하는게 기특하고 이쁘다 그리고 이서 노래 넘 잘해서 또 놀람
139,  @purificationjewelry743,리즈 유진 둘 캐리가...최고다..진짜..ㅠㅠ
140,  @khloe.1262,"I love Liz vocals, she carrying the high notes so smoothly"
141,  @user-zt6bv8sz1p,단체파트 진심 리즈 존재감 미쳤네
142,  @user-dg2gv2bj1d,우와.. 이 고음 파트가 라이브가리즈 님 진짜 버리는 파트 하나 없이 고음은 끝음 처리까지 완벽하고유진 님두 후렴 고음 대박이고..이서 님 성량 좋고 저 매력적인 파트 넘 잘 살리심
143,  @catalinabarria2473,"Leeseo is doing an amazing job covering Rei parts. Also her voice is so sweet and stable. I hope the public respect her this era and stop saying she ""only does lipsync or she is not capable of singing"", she is young and already has a captivating stage precense and vocals."
144,  @user-es7mt7ig9q,애기가 얼마나 상처 받았으면 몇달 만에 이를 갈고 오냐 이서야.. 너 진짜 짱이야
145,  @user-in3bm8qm5h,ㅇㅈ 이서 레이파트 준비도 많이 못했을텐데 듣고 소름돋음 ㅎㄷㄷ 원영이도 저번에 이서랑 스트로베리문 때매 진짜 이번컴백에서 노래연습만 주구장창 했다는데 이갈고 나온게 보임 몇달만에 앺라에 비해 진짜 잘하는거 같음 이제 라이브도 열심히 하고 기특하다^^
146,  @Ul_7,안유진 왜 이렇게 잘하지..? 입덕 위기다
147,  @littlecherrybloosom9950,I know that Liz is a very stable (and visually attractive) member while Yujin is the strong belting but Leeseo being a very responsible singer needs to be appreciated 
148,  @cheesecake7274,Liz and Yujin carry the vocals in this group
149,  @thebestdayeonista4100,Leeseo too
150,  @retricallltann6243, @thebestdayeonista4100  no only Liz and yujin. leeseo has really underdeveloped vocals only Liz and yunjin can actually support their vocals with rei coming in third
151,  @retricallltann6243, @thebestdayeonista4100  she still has a long way to go
152,  @iqra8426, @thebestdayeonista4100  leeseo sounds great but liz and yujin carries the vocals in this group
153,  @thebestdayeonista4100," @retricallltann6243  Girl, I'm talking about live vocals"
154,  @thebestdayeonista4100," @retricallltann6243  if we're talking about support, wonyoung is the closest"
155,  @thebestdayeonista4100, @iqra8426  Yes but leeseo is so good
156,  @mysticoncedive, @retricallltann6243  Yujin can’t support
157,  @rishitadas7802,Yeah. I believe Leeseo gonna join them soon. She improved since her last comeback
158,  @Everythingz127,​ @retricallltann6243  leeso sounds good
159,  @sepulvedavicente,"​ @mysticoncedive  shallowly and inconsistently, but she does support from time to time"
160,  @lavienrosewon8811,​ @retricallltann6243  yujin can't support...only liz cen support
161,  @iqra8426, @thebestdayeonista4100  yea but she's not on liz and yujins level and she still has a long way to go
162,  @potatomanchae._, @lavienrosewon8811  yujin can support
163,  @lavienrosewon8811, @potatomanchae._  when..i have seen ton vocal coach said her vocal will regress wuth ton high notes she get
164,  @retricallltann6243, @lavienrosewon8811  she can support but it’s obv not as good as Liz but it’s there considering starship also pushes her out of her support range all the time
165,  @retricallltann6243, @lavienrosewon8811  obv when she goes out of her range she will start to be unable to support
166,  @Flying-Chicken,Lol no one is talking about gaeul
167,  @mysticoncedive, @Flying-Chicken  I mean she skipped most of her vocal parts so can’t say much. Her rap was good though!
168,  @vircholoyale5156, @thebestdayeonista4100  Wonyoung cant support =)))))
169,  @TheLurkingDerm," @Flying-Chicken  Gaeul actually carries the group a lot in the studio recordings, same with Liz. If you listen to the hidden vocals, it's almost all Gaeul for the delicate parts and Liz for the stronger parts. For example, Liz actually sings the entire chorus and even does a vocal double of Yujin's high note to flesh it out for the studio version. I think vocally they picked Gaeul to back for Wonyoung and Leeseo for doubles and harmonies, and Liz does it for Rei and Yujin (Liz also sings the ""I'm on fire"" part too). Gaeul really doesn't get enough credit for the work she does in the studio."
170,  @jinsouljbol, @retricallltann6243  yujin cant support what
171,  @enanano,if they carry why does yujin keep skipping most of her vocal parts
172,  @TheLurkingDerm," @enanano  It might be because it's actually Liz doing the vocal double in the studio recording to help make the melody stronger, or maybe she would be fine singing those higher parts she has if she didn't also have to hit that high note. She (and most idols) don't really have the proper technique to hit those notes with ease, so it might be a trade off."
173,  @user-ho9gm5ih6z,이서 자신감 붙었나봐 어제보다 더 잘하고 표정도 훨씬 좋아졌음.. 리즈는 정말 이번 활동의 발군인거같음
174,  @user-rm4px6xd8p,이건 인정 이서도 아직 완벽하다까진 아니지만 확실히 자신감 있게 크게크게 라이브 하구 안유진은 원래도 잘했지만 고음 팍팍 더 안정감 있게 올라가고! 리즈도 파트 많아서 좋다ㅜ
175,  @zxzzx1306,안유진 노래 개늘었다 원래도 나쁘지 않았던 거 같은데 뭔가 지락실 때보다 살도 더 빠지고 자기 관리 + 실력 관리 쩐다 ㄹㅇ
176,  @liak.-mh2kk,"Leeseo, Liz and Yujin!! all of them did great. Gaeul's rap too"
177,  @myjoggottenbaby,"요새 아이브 라이브 하는 것만으로도 너무 감사하다… 특히 이서가 너무 자랑스러움 유진, 리즈는 진짜 말 할 것도 없이 본방 볼 때도 둘 목소리가 가장 잘 들렸고 원영, 가을이도 노래 하려고 노력해서 정말 한시름 놓음 노래가 많이 높아서 걱정했는데ㅠ"
178,  @kiyounkim9088,이서 너무 잘한다
179,  @user-vh5qm1wt6t,앵콜라이브 빨리보고싶다 1위하자!!! 역대급 라이브~~
180,  @doraemon-cj5io,리즈랑 유진은 잘부르는거 알았는데 이서가 엄청 늘었는데!!!
181,  @poeing,2:08 이서 쎄게 잘부른다 착하다춤추면서 이정도 고음이면...대박이지
182,  @nadyayanti2488,Yujin and Liz doing a great job to sing of all the chorus!!!
183,  @PinkBoy.7,yujin doesn't sing the high notes.
184,  @vath5150,​ @PinkBoy.7  she does
185,  @user-xu6cy5yh9d, @PinkBoy.7  u didn’t finish listening did u 
186,  @lethanhmai1627, @PinkBoy.7  u have problem with ears?
187,  @Verowinday777, @PinkBoy.7  her voice is louder and more audible than Liz's voice in the chorus though
188,  @Rengshui,헐 라이브 잘한다 특히 리즈...고음 처리 완전 깔끔해..이서도 높은음인데 성량이랑 고음ㄹㅈㄷ고..갓기브 사랑해 레이도 열심히 준비했을텐데 아쉽다그래도 이번활동 잘 끝내길!!갓기들 사랑해
189,  @Lovellysubsii,"Leeseo did a really good job, seeming that she had rei’s lines aswell! However, Liz was as really good and so was Yunjin "
190,  @Jxoflw,"Liz shined the most here, the fact that her vocals were so stable while moving constantly"
191,  @user-tp8zi1zs1m,모든멤버가 라이브 열심히해서 너무좋다
192,  @yumyum__s2,이서 음색 성량 쩐다
193,  @Bab26269,악플에 정면돌파하는 아이브 멋지다. 그와중에 라이브 너무 잘해
194,  @jinkyulee8315,"라이브 기대 이상이다. 그리고, 유진 고음파트 미쳤다"
