아이디,한글,교정된한글,label
  @pipopopi3173,리즈가 확실히 안정적으로 무대를 받쳐주는구나 거기다 유진이도 실력 더 늘은 것 같다 아이엠 무대는 유진이와 이서의 재발견이라고 해도 과언이 아님 결과적으로 기본 포지션을 잘 해주는 멤버가 분량이 늘어나니 이전 무대들보다 훨씬 안정적이고 퀄리티가 올라갔다,리즈가 확실히 안정적으로 무대를 받쳐주는구나 거기다 유진이도 실력 더 는 것 같다 아이엠 무대는 유진이와 이서의 재발견이라고 해도 과언이 아님 결과적으로 기본 포지션을 잘 해주는 멤버가 분량이 늘어나니 이전 무대들보다 훨씬 안정적이고 퀄리티가 올라갔다,1
  @mac-hs1xu,유진이는 실력이 는것도 있지만 원래 고음은 잘해요수록곡 마세티가 옥솔유진인 옥라까지 방송에서 보여줬었구리즈는 로얄에서 옥파샵이번엔 둘다 진성으로 옥솔스타쉽에서 아이브내 제일 잘하는 보컬은 유진음색 쩌는 보컬은 리즈리즈가 고음에선 오히려 더 늘었죠유진인 저음부터 고음까지 음역대가 넓고 리즈는 중고음에서 음색이 쥑이죠타이틀곡이 다 고음을 갖고가는게 아니라서 유진이 보컬이 오히려 묻혔고 리즈는 음색때문에 파트를 많이 갖고 가지 못했었죠원래 아이돌 노래가 고음인 경우 러브다이브같은 노래보다 뜨기가 어렵거든요이번엔 노래도 좋고 가사도 좋고 보컬도 좋고연말 무대에서 아이브 까인후 스타쉽에서 이갈고 따라부르기 쉬운 키치랑 보컬 보여줄수있는 아이엠을 더블타이틀로 내 놓은 듯스타쉽이야말로 아이브에게 감사해야져,유진이는 실력이 는 것도 있지만 원래 고음은 잘해요 수록곡 모세 티가 옥 솔 유진인 옥아까지 방송에서 보여줬었고 리즈는 로열에서 옥파샴 이번엔 둘 다 진성으로 옥 솔 스타십에서 아이브 내 제일 잘하는 보컬은 유진 음색 쩌는 보컬은 리즈 리즈가 고음에선 오히려 더 늘었죠 유지인 저음부터 고음까지 음역대가 넓고 리즈는 중고음에서 음색이 죽이죠 타이틀곡이 다 고음을 갖고 가는 게 아니라서 유진이 보컬이 오히려 묻혔고 리즈는 음색 때문에 파트를 많이 갖고 가지 못했었죠 원래 아이돌 노래가 고음인 경우 러브 다이브 같은 노래보다 뜨기가 어렵거든요 이번엔 노래도 좋고 가사도 좋고 보컬도 좋고 연말 무대에서 아이브 까인 후 스타십에서 이갈고 따라 부르기 쉬운 키치랑 보컬 보여줄 수 있는 아이엠을 더블 타이틀로 내놓은 듯스타쉽이야말로 아이브에게 감사해야죠,1
  @hye_2251,우리 리즈 이렇게 잘하는거 세상사람들이 알아줘야해,우리 리즈 이렇게 잘하는 거 세상 사람들이 알아줘야 해,1
  @user-mi8wp8gv1o,알고 있어요,알고 있어요,1
  @user-er9rg2dl2s,리즈랑 유진이가 고음 진짜 잘하고 이서도 많이 늘었고 레이 없어서 아쉽지만,리즈랑 유진이가 고음 진짜 잘하고 이서도 많이 늘었고 레이 없어서 아쉽지만,1
  @user-jk9wz8zz3i,이서는 자기 파트도 아니라서 연습도 못한 파트도 챙기느라 정신 없었을탠데 사리지 않고 열심히 다 부르는게 너무너무 보기 좋다 다 날리는 거보다 훨씬 나은 거 같음,이서는 자기 파트도 아니라서 연습도 못한 파트도 챙기느라 정신없었을 텐데 사리지 않고 열심히 다 부르는 게 너무너무 보기 좋다 다 날리는 거보다 훨씬 나은 거 같음,1
  @dduki00,하이라이트 부분 리즈 잡히지도 않는데 목소리 존재감 무엇 라이브 레전드 리즈 ,하이라이트 부분 리즈 잡히지도 않는데 목소리 존재감 무엇 라이브 레전드 리즈 ,1
  @user-vx9gj9kf2q,리즈가 리즈찍음,리즈가 리즈 찍음,1
  @HAZUKI_300, 그냥 무대영상으로 봐도 리즈 라이브 들려서 하이라이트 다 리즈 파트 느낌나서 넘 좋음, 그냥 무대 영상으로 봐도 리즈 라이브 들려서 하이라이트 다 리즈 파트 느낌 나서 너무 좋음,1
  @user-sc6im4tp6i,확실히 잘하는 애들 주축으로 파트를 주니까 노래 퀄리티가 확사는듯 앞으로도 이렇게 하면 좋겠다 장원영도 저음 부분이 확실히 잘 어울리는듯 뭔가 고급진 느낌 힘내자 아이브,확실히 잘하는 애들 주축으로 파트를 주니까 노래 퀄리티가 확 사는 듯 앞으로도 이렇게 하면 좋겠다 장원영도 저음 부분이 확실히 잘 어울리는 듯 뭔가 고급 진 느낌 힘내자 아이브,1
  @herahan5829,안유진리즈 보컬이 주축이고 이서의 사랑스런 독특한 음색이 토핑처럼 팡팡 터짐리즈 없으면 아이브 노래가 완성 안되네,안유진 리즈 보컬이 주축이고 이서의 사랑스러운 독특한 음색이 토핑처럼 팡팡 터짐 리즈 없으면 아이브 노래가 완성 안되니,1
  @user-ul4ez6oj9i,솔직히 막줄 ,솔직히 막 주 ,1
  @user-sv5ng7ko5y,유진이도,유진이도,1
  @Yeeun0616,고음을 왜 리즈랑 유진이 위주로 준건지 알겠다고음이 팍팍 올라가네이서도 노력하는 모습 보이고 이번 앨범 준비하면서 수고 했어,고음을 왜 리즈랑 유진이 위주로 준 건지 알겠다고 음이 팍팍 올라가네 이서도 노력하는 모습 보이고 이번 앨범 준비하면서 수고했어,1
  @user-ey6eg8nq5p,리즈 이서 잘 들린다 최선 다 하는거 멋져요 오래오래 좋은 노래 들려주세요,리즈 이서 잘 들린다 최선 다하는 거 멋져요 오래오래 좋은 노래 들려주세요,1
  @user-ub8rj9ef8e,냉정하게 안유진 고음이 더시원시원함 여초에서 이악물고 장원영깔려고 비인기멤버 끌어올리기 작전 대성공한거같은데 이제 안유진도 너무 성공하니까 배아픈지 리즈만 빨고있음  저래놓고 소비는 안하니까 아이브는 멤버들이랑 소속사만 난처하겠지 댓글이나 커뮤니티글에서만 리즈 인기터지는데 실제론 전혀 아니니까 역하다 역해  그렇게 있지가 망했지 채령 그렇게 댓글 커뮤글 난리치면서 좋다해놓고 소비를 안함 ,냉정하게 안유진 고음이 더 시원시원함 여초에서 이 악물고 장 원영 깔려고 비인기 멤버 끌어올리기 작전 대성공한 거 같은데 이제 안유진도 너무 성공하니까 배 아픈지 리즈만 빨고 있으면 저래놓고 소비는 안 하니까 아이브는 멤버들이랑 소속사만 난처하겠지 댓글이나 커뮤니티 글에서만 리즈 인기 터지는데 실제론 전혀 아니니까 역하다 역해  그렇게 있지가 망했지 채령 그렇게 댓글 커뮤 글 난리 치면서 좋다 해놓고 소비를 안 함 ,0
  @user-xb5xq3eu2x, 아 그래요 근데 왜케 화가낫어요, 아 그래요 근데 왜 이렇게 화가 났어요,1
  @saksakki0131, 대중들 반응이랑 코어팬들 소비상황 다른 건 원래 다 있는 일인데 대체 혼자 화난 이유가 뭐지, 대중들 반응이랑 코어 팬들 소비 상황 다른 건 원래 다 있는 일인데 대체 혼자 화난 이유가 뭐지,1
  @user-ub8rj9ef8e,뻔뻔함그자체  화난이유가뭐지 너네가 악플 고소무서워서 못다니까 지능적으로 아이돌괴롭혀서 화낫다고할게 ,뻔뻔함 그 자체  화난 이유가 뭐지 너네가 악플 고소 무서워서 못 다니까 지능적으로 아이돌 괴롭혀서 화났다고 할 게 ,0
  @user-ob1ym9bw8g,근데 대중들은 실력 골고루 좋은 아이돌 소비함 아이브는 멤버중에 몇명만 실력좋으니까 당연히 대중반응이랑 소비는 갈릴수밖에 없음,근데 대중들은 실력 골고루 좋은 아이돌 소비함 아이브는 멤버 중에 몇 명만 실력 좋으니까 당연히 대중 반응이랑 소비는 갈릴 수밖에 없음,1
  @Fearnot_yunjin,이서 부분에서는 춤이 격하지 않네요,이서 부분에서는 춤이 격하지 않네요,0
  @user-mb4hi2kq5r, 냉정도르는 웃기긴 한데 밑에 뭔 말인지 알 거 같네 , 냉정 도르는 웃기긴 한데 밑에 뭔 말인지 알 거 같네 ,1
  @Love_white,그니까용 리즈 이서 음색 짱 좋아염,그니까요 리즈 이서 음색 정말 좋아요,1
  @tggggdf7543, 리즈 언급 많아서 화났어, 리즈 언급 많아서 화났어,1
  @user-ub8rj9ef8e,난 일레븐때 리즈 음색좋다고 생각했는데 그 때 돼즈드립밖에없엇음 이렇게 리즈 띄워주지도않았고 지금보면 그냥 지능적으로 인기멤버 괴롭히는 사이버불링이지  아이돌들이 댓글을 얼마나 많이보는데  그거알고 저렇게 여론형성하는거 실제로 어느 멤버가 진짜 인기있는지 멤버들이나 소속사가 제일잘아는데 리즈 이서 띄워주는거보면 얼마나 웃길까 그렇게 좋으면 소비를 해주던가 소비도안하고 댓글에서만 리즈넘좋당 ,난 일레븐 때 리즈 음색 좋다고 생각했는데 그때 돼지 드립밖에 없었음 이렇게 리즈 띄워주지도 않았고 지금 보면 그냥 지능적으로 인기 멤버 괴롭히는 사이버 불링이 지  아이돌들이 댓글을 얼마나 많이 보는데  그거 알고 저렇게 여론 형성하는 거 실제로 어느 멤버가 진짜 인기 있는지 멤버들이나 소속사가 제일 잘 아는데 리즈 이서 띄워주는 거 보면 얼마나 웃길까 그렇게 좋으면 소비를 해주던가 소비도 안 하고 댓글에서만 리즈 너무 좋다 ,1
  @user-mq3vm7xh6h,혼자 뭐라고 씨부리세요,혼자 뭐라고 씨불이세요,0
  @kiki-jr5mh,닉값 전혀 못하네 리즈 일레븐 때부터 보랏빛 파트 화제될 정도로 반응 좋았고 금발 비주얼로도 반응 좋았는데 혼자 뭔 소리를 하는 거야 리즈는 원래 항상 음색 좋고 노래 잘한다고 언급당했음 잘하는 것도 팩트고,닉값 전혀 못하네 리즈 일레븐 때부터 보랏빛 파트 화제 될 정도로 반응 좋았고 금발 비주얼로도 반응 좋았는데 혼자 뭔 소리를 하는 거야 리즈는 원래 항상 음색 좋고 노래 잘한다고 언급당했으면 잘하는 것도 팩트고,1
  @user-wf5mw2fe1e,일레븐때 리즈 포카 시세 등이었고 원영 유진은 이미 아이즈원으로 인지도 있는 상태였어서 그렇다쳐도 리즈 인기가 미쳤었음 러브다이브때부터 살짝씩 부으면서 여론 안좋아진거고 아이엠때 확 뺀거임 유진도 잘부르고 리즈도 잘 부르지만 유진은 확 지르는 고음을 잘하고 리즈는 특별한 음색이랑 부드럽게 고음을 잘냄 유진은 높은 파트만 맡다보니까 항상 불안불안 해보이는 경우가 있었고 리즈도 높은 고음일때 음색도 챙기고 고음도 내느라고 많이 힘들어하는 모습 보였었음 근데 이번에 유진 리즈 둘다 미친듯이 발전해서 앵콜 무대 들어보면 알겠지만 보컬 진짜 좋음 뭐 비인기멤 올려치기니 뭐니는 그냥 니 망상인거고,일레븐 때 리즈 포커 시세 등이었고 원영 유진은 이미 아이즈원으로 인지도 있는 상태였어서 그렇다 쳐도 리즈 인기가 미쳤었음 러브 다이브 때부터 살짝씩 부으면서 여론 안 좋아진 거고 아이엠 때 확 뺀 거임 유진도 잘 부르고 리즈도 잘 부르지만 유진은 확 지르는 고음을 잘하고 리즈는 특별한 음색이랑 부드럽게 고음을 잘 냄 유진은 높은 파트만 맡다 보니까 항상 불안불안해 보이는 경우가 있었고 리즈도 높은 고음일 때 음색도 챙기고 고음도 내느라고 많이 힘들어하는 모습 보였었음 근데 이번에 유진 리즈 둘 다 미친 듯이 발전해서 앙코르 무대 들어보면 알겠지만 보컬 진짜 좋음 뭐 비인기 멤 올려 치기니 뭐니는 그냥 네 망상인 거고,1
  @user-bm9wq7pc4e,역한 건 팩트체크랍시고 소비도 안 하면서 이래라저래라 하는 그 성별  장원영 여초에서 까이는 것도 팩트고 여초픽인 것도 팩트죠 장원영 팬 성비 여자가 압살하는 것도 팩트죠 리즈 데뷔 초에 확신의 여초픽이었던 것도 팩트죠 꾸준히 칭찬받아왔던 것도 팩트죵 안유진은 원래 장원영이랑 투탑으로 여초픽이었는데 남자들한테 인기 많아져서 남초픽 된 거죠 ,역한 건 팩트체크랍시고 소비도 안 하면서 이래라저래라 하는 그 성별  장원영 여초에서 까이는 것도 팩트고 여초픽인 것도 팩트죠 장원영 팬 성비 여자가 압살하는 것도 팩트죠 리즈 데뷔 초에 확신의 여 토픽이었던 것도 팩트죠 꾸준히 칭찬받아왔던 것도 팩트죠 안유진은 원래 장원영이랑 투 탑으로 여 토픽이었는데 남자들한테 인기 많아져서 남초픽 된 거죠 ,0
  @user-ne5oe3yr9q,아니 유진이랑 리즈 저렇게 빡세게 추면서 거의 흔들림 없이 고음 지르는게 진짜 대단하네 다들 실력 진짜 많이 늘었다얼른 위해서 앵콜 보여주자,아니 유진이랑 리즈 저렇게 빡세게 추면서 거의 흔들림 없이 고음 지르는 게 진짜 대단하네 다들 실력 진짜 많이 늘었다 얼른 위해서 앙코르 보여주자,1
  @songkangg,리즈는 후렴에 메인 서지도 않는데 오디오 빵빵하게 헌신하네 리즈 목소리가 많이 들리니 완성도기 확 올라간다 참 대단하며 짠한거,리즈는 후렴에 메인 서지도 않는데 오디오 빵빵하게 헌신하네 리즈 목소리가 많이 들리니 완성도기 확 올라간다 참 대단하며 짠한 거,1
  @dora1793,완전 공감해요,완전히 공감해요,1
  @user-fs2vb7hb8g, 유진  유진  리즈로 열리는건 부터 바로 리즈가 유진 보컬 받쳐주는게 진짜 멋있다 실력이 탄탄한 둘이서 저렇게 같이 부르니까 극락 가겠음, 유진  유진  리즈로 열리는 건부터 바로 리즈가 유진 보컬 받쳐주는 게 진짜 멋있다 실력이 탄탄한 둘이서 저렇게 같이 부르니까 극락 가겠음,1
  @hohopopo1212,진짜 유진이랑 리즈가 후렴부분 라이브 성량 대단함 어떻게 라이브하냐 절 팔어웨이랑 댓츠 마이 부분에서 소름 쫙 돋음,진짜 유진이랑 리즈가 후렴 부분 라이브 성량 대단함 어떻게 라이브 하냐 절 팔어 웨이랑 댓츠 마이 부분에서 소름 쫙 돋음,1
  @dfggy,와 이서랑 유진이랑 리즈는 진짜 기특강쥐들이네 말이나 되나 저 고음에 개탄탄한 묵직함이 느껴져 솔직히 이 실력들이면 앞으로도 실력논란 같은 거 뜰 수가 없음  너네가 아이브의 심장이다,와 이서랑 유진이랑 리즈는 진짜 이 특강 쥐들이네 말이나 되나 저 고음에 개탄 탄한 묵직함이 느껴져 솔직히 이 실력들이면 앞으로도 실력 논란 같은 거 뜰 수가 없음  너네가 아이브의 심장이다,1
  @user-cu2sy5ve4j,이서 실력 많이 늘었다 진짜,이서 실력 많이 늘었다 진짜,1
  @user-xp4ns2hr5h,이서파트부터 목소리 점점 커져가더니 고음 라이브로 질러버리는 리즈 덕분에 온몸에 소름 돋았다,이서 파트부터 목소리 점점 커져가더니 고음 라이브로 질러버리는 리즈 덕분에 온몸에 소름 돋았다,1
  @alstj_doa,이서야 실력 너무 늘었어 자랑스럽다 진짜,이서야 실력 너무 늘었어 자랑스럽다 진짜,1
  @danah7054,리즈유진 캐리 미쳤다 이서도 립싱크 안하려는게 보여서 넘 대견해애,리즈 유진 캐리 미쳤다 이서도 립싱크 안 하려는 게 보여서 너무 대견해애,1
  @user-og4wq5zr3y,리즈 진짜 노래잘부른다 진짜 음색대박,리즈 진짜 노래 잘 부른다 진짜 음색 대박,1
  @KYUHYUNVLOG023,리즈고음 미쳣고 유진 보컬에 고음까지 갓벽 이서는 실력 진짜 많이늘었고 실제 엠알제거로 들으니까 자신감도 있고 탄탄하게 잘불러서 너무조음 이거보고 최애 이서로 바꼈다,리즈고 음 미쳤고 유진 보컬에 고음까지 가벽 이서는 실력 진짜 많이 늘었고 실제 엠알 제거로 들으니까 자신감도 있고 탄탄하게 잘 불러서 너무 좋음 이거 보고 최애 이서로 바뀌었다,1
  @shahaha142,유진 리즈 캐리 오진다 노래 왤케 잘해,유진 리즈 캐리 오진다 노래 왜 이렇게 잘해,1
  @abcedf,저는 이서도 잘하는거같다고 생각함 이서 실력 이정도였나,저는 이서도 잘하는 거 같다고 생각함 이서 실력 이 정도였나,1
  @user-xq8sk2uz5b,장원영 토할꺼같다 표정 노래는안하고 왜저럴까 싶음 ,장원영 토할 거 같다 표정 노래는 안 하고 왜 저럴까 싶음 ,0
  @user-qh5rd1od8j, 느금마, 느금마,0
  @behasty-egg,아니 아무리 그래도 사람한데 토할거라는 말은 쫌 그리고 파트가 없어서 그렇지 노래를 안 하는건 아니던데,아니 아무리 그래도 사람한데 토할 거라는 말은 좀 그리고 파트가 없어서 그렇지 노래를 안 하는 건 아니던데,1
  @Rex-_-,장원영은 성량이 낮을 뿐임 아예 안 하는 건 아님,장원영은 성량이 낮을 뿐임 아예 안 하는 건 아님,1
  @Ns-mk5um,아예안하는건 아니긴함 거의 안함,아예 안 하는 건 아니긴 함 거의 안 함,1
  @user-fe6dq9nu7m,느거매,는 거 매,0
  @azzossi0831,원래 저음은 잘안들림,원래 저음은 잘 안 들림,1
  @azzossi0831, 와 얘 댓글목록 개악질이노 장원영이 부러운가보다 , 와 얘 댓글 목록 대 악질이 노 장원영이 부러운가 보다 ,1
  @Flying-Chicken,가을도 잘함 근데 아무도 언급 안하네 ,가을도 잘함 근데 아무도 언급 안 하네 ,1
  @I7hI, 나쁘진 않음, 나쁘진 않음,1
  @user-ge9xi5pz8w,이서 미쳤는데 리즈 유진은 원래 잘하는 거 알았지만 이서 진짜 잘한다,이서 미쳤는데 리즈 유진은 원래 잘하는 거 알았지만 이서 진짜 잘한다,1
  @user-rs3fh5lz7f,이서랑 유진이 발전한 것 충분히 느껴져요 그리고 리즈는 다같이 부르는 파트에서도 되게 열심히 부르고 유일하게 파트 고음부분 안 빼먹더라구요 역시 메보다 사랑해 김리즈,이서랑 유진이 발전한 것 충분히 느껴져요 그리고 리즈는 다 같이 부르는 파트에서도 되게 열심히 부르고 유일하게 파트 고음 부분 안 빼먹더라고요 역시 메보다 사랑해 김리즈,1
  @user-wn2gp5ez6f, 고음부분을 빼먹는게 아니라 오히려 고음부분은 다 라이브로 부르고 기계처리라고 해야하나 프로그램으로 목소리에 필터같이 뭔가 씌우거나 맑고 울리게 만드는 등 그런 처리가 필요한 부분만 안부르는 것 같아요그런 필터처리가 들어간 부분은 목소리만으로 낼 수 없고 진성이 섞이면 에이알에서 나오는 노래랑 차이가 너무나서 이질감이 들고 원곡이랑 달라져버리니까 그부분만 립싱크 한것같습니당 리즈파트엔 그런 부분이 없는데 이서나 유진이 같은 겨웅엔 후렴인가 브릿지인가 하여튼 두세마디정도 있는 것 같아요오히려 음으로 따졌을때 훨씬 높은 고음파트에서는 더 크게 라이브하는 것 같고요칭찬하시는 것 같긴한데 리즈도 메보로 충분하다못해 넘칠만큼 잘하지만 다른 아이들이 고음부분빼먹고 라이브한다는 오명이 생길까봐 덧글남겨요그리고 이건 개인적인 의견이지만 리즈를 칭찬할땐 좋은 점만 나열해서 칭찬만 하시는 게 좋은 것 같아요유일하게 안빼먹고 고음파트를 불렀다는 말은 다르게보면 다른애들은 고음부분 빼먹고 부르더라같은 교묘한 디스처럼 들릴 수도 있어 오해가 생길 것 같아서요다른 멤버를 디스하며 자기 최애를 칭찬하는 것만큼 자기최애를 욕먹이는 짓은 없는 것 같아요 물론 덧글쓴이님이 그렇다는 건 아니구 오해할 여지가 있다 말씀드리는 거고 다른 몰상식한 분들이 간혹 그러는 경우가 이써서 걱정되어서요그럼 좋은하루되세용,"빼먹는게 아니라 오히려 고음 부분은 다 라이브로 부르고 기계 처리라고 해야 하나 프로그램으로 목소리에 필터같이 뭔가 씌우거나 맑고 울리게 만드는 등 그런 처리가 필요한 부분만 안 부르는 것 같아요! 그런 필터 처리가 들어간 부분은 목소리만으로 낼 수 없고 진성이 섞이면 에이알에서 나오는 노래랑 차이가 너무 나서 이질감이 들고 원곡이랑 달라져 버리니까 그 부분만 립싱크한 것 같습니다 리즈 파트엔 그런 부분이 없는데 이서나 유진이 같은 경우엔 후렴인가 브릿지인가 하여튼 두세 마디 정도 있는 것 같아요 오히려 음으로 따졌을 때 훨씬 높은 고음 부분에서는 더 크게 라이브 하는 것 같고요 칭찬하시는 것 같긴 한데 리즈도 메보로 충분하다 못해 넘칠 만큼 잘하지만, 다른 아이들이 고음 부분 빼먹고 라이브 한다는 오명이 생길까 봐 댓글 남겨요. 그리고 이건 개인적인 의견이지만 리즈를 칭찬할 땐 좋은 점만 나열해서 칭찬만 하시는 게 좋은 것 같아요. 유일하게 안 빼먹고 고음 부분을 불렀다는 말은 다르게 보면 다른 애들은 고음 부분 빼먹고 부르더라. 같은 교묘한 디스처럼 들릴 수도 있어 오해가 생길 것 같아서요 다른 멤버를 깎아내리며 자기 최애를 칭찬하는 것만큼 자기 최애를 욕 먹이는 짓은 없는 것 같아요. 물론 댓글 쓴 아님이 그렇다는 건 아니고 오해할 여지가 있다고 말씀드리는 거고 다른 몰상식한 분들이 간혹 그러는 경우가 있어서 걱정되어서요 그럼 좋은 하루 보내세요",1
  @user-ne5oe3yr9q,안유진 진짜 실력 좋은데 항상 실력 키워오는게 너무 대견함 춤도 가장 안날리고 잘 추면서 이렇게 안정적이게 옥솔을 바로 올리는게 진짜 대단해,안유진 진짜 실력 좋은데 항상 실력 키워오는 게 너무 대견함 춤도 가장 안 날리고 잘 추면서 이렇게 안정적이게 옥 솔을 바로 올리는 게 진짜 대단해,1
  @Ooll2i,와 진짜 리즈 노래 잘하는거 알고 있었지만 진짜 고음이 시원하게 쭉 올라가네 대박이다,와 진짜 리즈 노래 잘하는 거 알고 있었지만 진짜 고음이 시원하게 쭉 올라가네 대박이다,1
  @cryingcat5020,메인 보컬 라인들은 말을 안 해도 알 것이고 이서는 가늘고 높은 음을 확실히 더 안정적으로 부를 수 있게 된 것 같음,메인 보컬 라인들은 말을 안 해도 알 것이고 이서는 가늘고 높은 음을 확실히 더 안정적으로 부를 수 있게 된 것 같음,1
  @user-cv5vq9cy5e,이서랑 리즈는 미래가 넘 기대되는 보컬같아요,이서랑 리즈는 미래가 너무 기대되는 보컬 같아요,1
  @Flying-Chicken,가을이도 잘하는데요,가을이도 잘하는데요,1
  @user-fl9nz3ws5i,가을이 못한다는 댓 없는데요 ,가을이 못한다는 댓 없는데요 ,1
